,Domain name,MBFC1,MBFC2,MBFC ranking,Global,W,Misinfo,Get fact-checks for:
1,100percentfedup.com,low,FN,L,"63,974",,-0.91,100 Percent Fed Up
2,10news.one,low,FN,L,"20,000,000",,0,10News.one
3,12minutos.com,low,FN,L,"522,937",,-1,12minutos.com
4,2020conservative.com,very-low,FN,L,"325,894",,,2020 Conservative
5,2020electioncenter.com,very-low,CP,L,"3,299,916",,0.6,Banned.Video
6,21stcenturywire.com,mixed,CP,L,"376,252",,-0.94,21st Century Wire
7,24jours.com,low,FN,L,"2,032,491",,0.25,24jours.com
8,369news.net,mixed,CP,L,"20,000,000",,0,369 News
9,4chan.org,very-low,FN,L,404,W,0.72,4Chan
10,79days.news,very-low,CP,L,"2,803,462",,-1,Banned.video
11,911truth.org,low,CP,L,"1,815,099",,0.4,911Truth.org
12,aapsonline.org,low,FN,L,"871,938",W,-0.64,Association of American Physicians and Surgeons
13,aattp.org,low,FN,L,"10,878,608",,-0.41,Americans Against the Tea Party
14,abcbusinessnews.com,very-low,FN,L,"3,822,885",,0,Experience Awareness (AbcBusinessNews.com)
15,abovetopsecret.com,low,CP,L,"36,101",,0.19,Above Top Secret
16,acallforanuprising.com,low,CP,L,"1,702,716",,-0.58,A Call for an Uprising
17,acpeds.org,low,FN,L,"661,514",W,-0.01,American College of Pediatricians
18,acting-man.com,mixed,FN,L,"3,618,685",,-0.1,Acting Man
19,actionnews3.com,very-low,FN,L,"7,650,959",,-0.95,Action News 3
20,activistpost.com,low,CP,L,"160,396",,-0.79,Activist Post
21,adamscountytimes.com,mixed,FN,L,"20,000,000",W,-0.36,Adams County Times
22,adareporter.com,mixed,FN,L,"20,000,000",W,-0.36,Ada Reporter
23,adflegal.org,low,FN,L,"223,911",W,-0.03,Alliance Defending Freedom
24,ae911truth.org,mixed,CP,L,"616,325",W,-0.5,Architects & Engineers for 9/11 Truth
25,afa.net,low,FN,L,"478,334",W,-0.71,American Family Association
26,afn.net,low,FN,L,"653,768",,,American Family News
27,africanexponent.com,mixed,FN,L,"277,222",,,The African Exponent
28,aim4truth.org,very-low,CP,L,"827,990",,0,American Intelligence Media
29,albanystandard.com,mixed,FN,L,"20,000,000",W,-0.36,Albany Standard
30,albawaba.com,mixed,FN,L,"40,513",W,0.09,Al Bawaba
31,alexanderhiggins.com,mixed,CP,L,"5,991,059",,0,Higgins News Network
32,allianceforadvancedhealth.com,mixed,CP,L,"8,580,868",,0,Alliance for Advanced Health
33,allnewspipeline.com,low,FN,L,"149,723",,-0.83,All News Pipeline
34,alohastatenews.com,mixed,FN,L,"20,000,000",W,-0.36,Aloha State News
35,alphanews.org,low,FN,L,"141,055",,,Alpha News
36,alphanewsmn.com,low,FN,L,"20,000,000",,0,Alpha News
37,altermedzentrum.com,very-low,CP,L,"8,445,362",,-0.44,Altermed Zentrum
38,alternativenews.com,low,CP,L,"5,116,791",,0.24,AlternativeNews.com
39,althealthworks.com,low,CP,L,"780,349",,0.6,AltHealth Works
40,altleft.news,very-low,CP,L,"7,547,015",,,AltLeft.News
41,altrighttv.com,low,FN,L,"2,185,651",,-0.14,Alt-Right TV
42,america.cgtn.com,mixed,FN,L,"10,854",W,0,China Global Television Network
43,americamaxnews.com,low,FN,L,"20,000,000",,-0.6,America Max News
44,americanactionnews.com,mixed,FN,L,"250,427",,0.16,American Action News
45,americancatholictribune.com,mixed,FN,L,"2,343,857",W,-1,American Catholic Tribine
46,americanconservativemovement.com,low,FN,L,"7,504,744",,-0.6,American Conservative Movement
47,americandigitalnews.com,mixed,CP,L,"2,071,324",,0,American Digital News
48,americanfreepress.net,low,CP,L,"1,561,587",W,-0.4,American Free Press
49,americangulag.org,very-low,FN,L,"704,397",,-0.14,American Gulag
50,americanjournalreview.com,low,FN,L,"20,000,000",,0,American Journal Review
51,americanlibertyemail.com,low,FN,L,"20,000,000",,,American Liberty Report
52,americanlookout.com,low,FN,L,"250,589",,0.2,American Lookout
53,americanpartisan.org,low,FN,L,"314,194",,,American Partisan
54,americanpatriotdaily.com,low,FN,L,"418,851",,-0.13,American Patriot Daily
55,americanpeopledaily.com,low,FN,L,"6,934,882",,0,American People Daily
56,americanpolicy.org,low,CP,L,"3,402,454",,0.24,American Policy Center
57,americanprinciplesproject.org,low,FN,L,"1,810,135",W,-0.16,American Principles Project
58,americansfortruth.com,very-low,FN,L,"3,664,683",W,-0.4,Americans for Truth about Homosexuality
59,americanthinker.com,low,FN,L,"14,406",W,-0.71,American Thinker
60,americantruthtoday.com,low,FN,L,"20,000,000",,0.6,American Truth Today
61,americaoutloud.com,low,FN,L,"219,718",,,America Out Loud
62,americasfreedomfighters.com,low,FN,L,"92,589",,-0.77,Americas Freedom Fighters
63,americasfrontlinedoctors.org,low,CP,L,"423,521",,-0.67,America's Frontline Doctors
64,americasnewssource.com,very-low,FN,L,"20,000,000",,-0.98,America's News Source
65,amestoday.com,mixed,FN,L,"20,000,000",W,-0.36,Ames Today
66,amg-news.com,very-low,CP,L,"174,660",,,American Media Group
67,amoskeagtimes.com,mixed,FN,L,"9,146,981",,,Amoskeag Times
68,amren.com,low,FN,L,"93,696",W,-0.12,American Renaissance Magazine
69,amtvmedia.com,low,CP,L,"6,943,393",,0.2,Alternative Media Television
70,analyzingamerica.org,mixed,FN,L,"94,131",,0.16,Analyzing America
71,ancient-code.com,mixed,CP,L,"455,062",,-0.09,Ancient Code
72,ancient-origins.net,mixed,CP,L,"27,025",,0.03,Ancient Origins
73,andersoninstitute.com,mixed,CP,L,"1,039,273",,,Anderson Institute
74,andersonreporter.com,mixed,FN,L,"20,000,000",W,-0.36,Anderson Reporter
75,anews-24.com,very-low,FN,L,"20,000,000",,-1,American News
76,anewspost.com,mixed,CP,L,"1,820,883",,0,Anonymous News
77,anh-usa.org,mixed,CP,L,"807,079",W,0.02,Alliance for Natural Health
78,annarbortimes.com,mixed,FN,L,"5,499,237",W,-1,Ann Arbor Times
79,annarbortimes.com,mixed,FN,L,"20,000,000",W,-1,Ann Arbor Times
80,annearundeltoday.com,mixed,FN,L,"20,000,000",W,-1,Anne Arundel Today
81,anokatimes.com,mixed,FN,L,"20,000,000",W,-1,Anoka Times
82,anonews.co,mixed,FN,L,"2,862,320",,-0.55,Anonymous News
83,anonhq.com,very-low,CP,L,"1,507,374",,-0.25,We are Anonymous
84,anonymouswire.com,low,FN,L,"283,328",,,Anonymous Wire
85,antelopevalleytoday.com,mixed,FN,L,"20,000,000",W,-0.36,Antelope Valley Today
86,anyavien.com,very-low,CP,L,"885,379",,-1,Anya Vien
87,arabnews.com,mixed,FN,L,"11,550",W,0.13,Arab News
88,archaeology-world.com,mixed,FN,L,"347,153",,0,Archaeology World
89,arizonaindependent.com,mixed,FN,L,"20,000,000",,,Arizona Independent
90,asia-pacificresearch.com,mixed,CP,L,"2,281,061",,0,Asia-Pacific Research
91,askingangels.com,very-low,CP,L,"3,087,219",,-1,AskingAngels
92,assassinationscience.com,low,CP,L,"20,000,000",,-0.45,Assassination Science
93,athensreporter.com,mixed,FN,L,"20,000,000",W,-0.36,Athens Reporter
94,atlstandard.com,mixed,FN,L,"20,000,000",W,-0.36,ATL Standard
95,auburntimes.com,mixed,FN,L,"9,382,268",W,-0.36,Auburn Times
96,augustarichmondherald.com,mixed,FN,L,"20,000,000",,,Augusta-Richmond Herald
97,australiannationalreview.com,low,CP,L,"246,047",,0,Australian National Review
98,autismspeaks.org,null,CP,L,"90,574",W,0.07,Autism Speaks
99,avoiceformen.com,low,FN,L,"694,401",W,0.76,A Voice for Men
100,awarenessact.com,low,CP,L,"181,595",,-0.94,Awareness Act
101,awm.com,mixed,FN,L,"159,669",,-0.12,American Web Media
102,azcatholictribune.com,mixed,FN,L,"7,228,026",W,-1,Catholic Tribune - Arizona
103,baldwintimes.com,mixed,FN,L,"20,000,000",W,-0.36,Baldwin Times
104,baltimorecitywire.com,mixed,FN,L,"20,000,000",W,-1,Baltimore City Wire
105,banned.video,very-low,CP,L,"97,988",,-0.87,Banned Video
106,barenakedislam.com,low,FN,L,"302,748",,-0.92,Bare Naked Islam
107,basnews.com,mixed,FN,L,"36,333",,0.01,Basnews Agency
