"homepage","bias"
"https://www.liberationnews.org/","left"
"http://proudemocrat.com/","left"
"http://www.worldsocialism.org/spgb/","left"
"http://aidc.org.za/amandla-media/","left"
"http://www.thefrisky.com/","left"
"http://modernliberals.com/","left"
"http://www.dallasvoice.com/","left"
"https://www.americanprogress.org/","left"
"http://www.bluedotdaily.com/","left"
"http://www.alternet.org/","left"
"http://www.peacock-panache.com","left"
"http://www.themilitant.com/","left"
"https://theintellectualist.co/","left"
"http://www.newslogue.com/","left"
"http://wonkette.com/","left"
"http://thefingnews.com","left"
"https://redyouth.org/","left"
"http://progressivearmy.com","left"
"http://www.leftsideofhistory.com/","left"
"http://www.democracynow.org/","left"
"http://elitedaily.com/","left"
"http://front.moveon.org/","left"
"https://whowhatwhy.org/","left"
"https://www.middleeastmonitor.com/","left"
"http://www.truth-out.org/","left"
"http://earthfirstjournal.org/","left"
"http://www.miaminewtimes.com/","left"
"https://www.themarysue.com","left"
"http://www.telesurtv.net/english/","left"
"http://www.cnn.com/","left"
"https://itsgoingdown.org/","left"
"http://www.democraticunderground.com/","left"
"https://www.themaven.net/beingliberal","left"
"http://www.gq.com/","left"
"https://newrepublic.com/","left"
"http://samuel-warde.com/","left"
"http://www.blue-route.org/blog/","left"
"http://www.morningstaronline.co.uk/","left"
"http://bust.com/","left"
"https://tytnetwork.com/","left"
"http://www.nationalmemo.com/","left"
"http://feministing.com/","left"
"http://leftaction.com/","left"
"https://www.stpete4peace.org/","left"
"http://americablog.com/","left"
"http://www.intrepidreport.com/","left"
"http://www.daily49er.com/","left"
"http://www.huffingtonpost.com/","left"
"https://electronicintifada.net/","left"
"http://meanlefthook.com/","left"
"https://leftfootforward.org/","left"
"https://americanbridgepac.org/","left"
"https://newint.org/","left"
"http://www.ebar.com/","left"
"http://www.politicususa.com/","left"
"http://www.advocate.com/","left"
"http://www.esquire.com/","left"
"https://theguardiansofdemocracy.com/","left"
"http://www.liberalamerica.org/","left"
"http://www.rightwingwatch.org/","left"
"http://www.drudge.com/","left"
"http://news.groopspeak.com/","left"
"https://bitchmedia.org/","left"
"https://www.freespeech.org/","left"
"http://www.villagevoice.com/","left"
"http://washingtonjournal.com/","left"
"http://www.allthatsfab.com/","left"
"http://www.pravdareport.com/","left"
"http://www.chicagoreader.com/","left"
"http://nymag.com/","left"
"https://this.org/","left"
"http://www.chroniclesofdemocracy.com/","left"
"https://deadspin.com/","left"
"https://theestablishment.co","left"
"http://www.vox.com/","left"
"http://www.slate.com/","left"
"http://www.rawstory.com/","left"
"http://www.mediaite.com/","left"
"http://washingtonmonthly.com/","left"
"http://uproxx.com/","left"
"http://www.au.org/","left"
"http://www.vermontindependent.org/","left"
"http://www.tribunemagazine.org/","left"
"http://gizmodo.com/","left"
"http://crooksandliars.com/","left"
"http://www.samefacts.com/","left"
"http://politicalupdater.com/","left"
"http://www.curvemag.com","left"
"http://www.scarymommy.com/","left"
"http://economyincrisis.org/","left"
"http://www.prwatch.org/cmd","left"
"https://popularresistance.org/","left"
"http://www.dailynewsbin.com/","left"
"http://www.theburningspear.com/","left"
"https://theoutline.com/","left"
"http://mediamatters.org/","left"
"http://www.progressive.org/","left"
"http://bluenationreview.com/","left"
"https://www.leftscoop.com/","left"
"https://worldcantwait.net/","left"
"http://politicaldig.com/","left"
"http://people.com/politics/","left"
"http://www.dailyrecord.co.uk/","left"
"https://www.change.org/","left"
"https://en.wikipedia.org/wiki/World_Socialist_Web_Site","left"
"http://www.gopocalypse.org/","left"
"https://splinternews.com","left"
"http://www.lgbtqnation.com/","left"
"http://www.firstpost.com/","left"
"http://www.rappler.com/","left"
"http://reverepress.com","left"
"http://www.salon.com/","left"
"https://www.pastemagazine.com/","left"
"http://www.lavendermagazine.com/","left"
"http://inthesetimes.com/","left"
"http://www.sourcewatch.org/index.php/SourceWatch","left"
"http://ir.net/","left"
