Source Target Weight
165445 163608 410
273946 60920 397
273946 453052 381
250291 307171 375
192358 163608 364
165445 180681 350
237487 453052 307
165445 16 296
477760 498852 290
163608 180681 284
180681 16 280
237487 273946 270
165445 192358 257
250291 82628 250
273946 132873 245
82628 410407 235
165445 12852 230
237487 2367 228
273946 453333 225
268109 163608 222
444562 118674 222
250291 165445 221
474938 488832 221
165445 307171 220
82628 57484 220
82628 283914 216
268109 165445 213
250291 157744 211
97375 292753 209
268109 192358 205
12852 163608 204
273946 2367 203
165445 110898 202
301420 97375 201
163608 16 196
165445 409056 191
82628 28372 189
237487 453333 187
273946 454904 187
268109 180681 181
82628 49572 178
110898 180681 176
163608 46969 175
453333 453052 174
192358 180681 173
57484 283914 173
2570623 28351 170
2367 453052 168
292753 1852803 168
237487 85648 167
453333 132873 166
479605 477760 165
82628 55278 163
85648 453052 161
250291 226782 160
132873 60920 160
250291 163608 157
57484 28372 157
237487 203910 154
453333 60920 153
250291 371959 151
93696 60920 151
28372 283914 151
97375 1852803 151
273946 85648 149
57484 410407 149
250291 409056 148
250291 192358 148
453333 85648 147
301420 292753 147
132873 453052 144
118674 259708 142
28351 292753 140
250291 410407 139
12852 180681 139
57484 55278 139
250291 49572 138
454904 453052 138
453052 60920 138
477760 497437 137
157744 82628 135
283914 410407 134
165445 169843 132
57484 202280 132
250291 12852 131
307171 163608 131
72423 397572 131
28372 410407 131
28372 49572 131
273946 118674 130
12852 307171 129
250291 712066 126
110898 16 126
273946 331059 126
82628 202280 126
192358 82628 125
301420 1852803 125
418260 380474 124
169843 180681 123
49572 712066 123
294668 16 122
82628 298693 122
265751 132873 122
237487 132873 121
273946 93696 121
474938 504735 121
12852 192358 120
237487 454904 120
28372 202280 120
12852 16 119
453333 2367 119
397572 204997 119
307171 157744 118
289030 452617 117
163608 496435 116
28372 55278 116
118674 453052 116
237487 60920 115
418260 204997 115
294668 180681 114
268109 250291 113
250291 57484 113
163608 409056 113
250291 122757 112
306228 289030 112
453333 118674 110
474938 157633 110
169843 163608 109
2367 132873 109
307171 180681 108
453333 454904 108
237487 33168 107
82628 233210 107
291668 431753 107
82628 712066 106
204997 380474 106
380474 130970 106
250291 298693 105
165445 211676 105
283914 55278 105
203910 453052 105
397572 380474 105
157744 49572 104
55278 410407 104
479605 498852 104
250291 292751 103
273946 265751 103
57484 49572 103
118674 85648 103
397572 418260 103
250291 222880 102
444562 453333 102
444562 273946 102
249638 180681 102
479605 497437 102
28351 1852803 102
444562 259708 101
157744 712066 101
283914 49572 101
49572 55278 101
454904 132873 101
250291 283914 100
165445 294668 100
192358 16 100
72423 130970 100
82628 226782 100
418260 40115 100
250291 369556 99
82628 122757 99
307171 409056 98
163608 211676 98
454904 85648 98
250291 206582 97
249638 16 97
283914 202280 97
397572 262772 97
163608 321451 96
268109 409056 95
406150 92954 95
273946 203910 95
82628 51948 95
49572 410407 95
307171 82628 94
237487 118674 94
306228 452617 94
55278 202280 94
72423 204997 93
2367 85648 93
453333 265751 92
406150 359327 91
72423 418260 91
206582 82628 91
418260 463143 91
268109 307171 90
250291 180681 90
250291 55278 90
2570623 292753 90
292753 678740 90
192358 206582 89
82628 413071 89
265751 60920 89
359327 92954 88
118674 132873 88
331059 132873 88
110898 163608 87
92954 146587 87
57484 298693 87
57484 109138 87
397572 130970 87
397572 40115 87
122757 49572 86
49572 298693 86
431753 362146 86
498852 497437 86
268109 12852 85
371959 307171 85
307171 226782 85
180681 409056 85
180681 211676 85
331059 453052 85
380474 40115 85
82628 334839 84
2367 60920 84
118674 38951 84
496435 46969 84
301420 771160 84
771160 97375 84
250291 28372 83
12852 169843 83
2367 454904 83
118065 130970 83
301420 446066 83
97375 446066 83
273946 238392 82
82628 369556 82
2367 118674 82
233210 49572 82
132873 85648 82
71834 292753 82
165445 82628 81
157744 292751 81
404907 82628 81
431753 429908 81
431753 1430565 81
444562 132873 80
273946 404310 80
157744 122757 80
82628 292751 80
118674 454904 80
418260 262772 80
204997 130970 80
301420 667801 80
165445 165975 79
163608 82628 79
180681 381324 79
72423 380474 79
275897 283914 79
397572 118065 79
380474 262772 79
268109 16 78
169843 307171 78
192358 49572 78
16 381324 78
