path	flow	name	node_id
1:1:1	0.0140794	250291	250291
1:1:2	0.0105196	82628	82628
1:1:3	0.00886942	307171	307171
1:1:4	0.0067272	157744	157744
1:1:5	0.00645992	49572	49572
1:1:6	0.00607562	410407	410407
1:1:7	0.00595062	57484	57484
1:1:8	0.00563148	28372	28372
1:1:9	0.00558627	283914	283914
1:1:10	0.00501581	55278	55278
1:1:11	0.00501581	712066	712066
1:1:12	0.0044746	371959	371959
1:1:13	0.00442274	292751	292751
1:1:14	0.00442141	226782	226782
1:1:15	0.00430174	122757	122757
1:1:16	0.00428046	298693	298693
1:1:17	0.00384962	202280	202280
1:1:18	0.00382303	206582	206582
1:1:19	0.00366745	233210	233210
1:1:20	0.00339352	369556	369556
1:1:21	0.00337623	51948	51948
1:1:22	0.00329379	334839	334839
1:1:23	0.00311826	159172	159172
1:1:24	0.00298529	413071	413071
1:1:25	0.00298396	314698	314698
1:1:26	0.00282173	404907	404907
1:1:27	0.00255844	222880	222880
1:1:28	0.0025212	275897	275897
1:1:29	0.00224063	374035	374035
1:1:30	0.0020877	109138	109138
1:1:31	0.00199595	362133	362133
1:1:32	0.00193478	118212	118212
1:1:33	0.00193212	112274	112274
1:1:34	0.00190553	417781	417781
1:1:35	0.00188957	211092	211092
1:1:36	0.00186963	164484	164484
1:1:37	0.00184303	345158	345158
1:1:38	0.00181112	171137	171137
1:1:39	0.00178452	430532	430532
1:1:40	0.00178452	405164	405164
1:1:41	0.00172867	30844	30844
1:1:42	0.00172867	10804	10804
1:1:43	0.00171006	164792	164792
1:1:44	0.00169676	382466	382466
1:1:45	0.00166352	462828	462828
1:1:46	0.00150395	309240	309240
1:1:47	0.00150262	348342	348342
1:1:48	0.00140288	20904	20904
1:1:49	0.00136299	384839	384839
1:1:50	0.00136033	258409	258409
1:1:51	0.00135501	38145	38145
1:1:52	0.00135501	271355	271355
1:1:53	0.00134305	50197	50197
1:1:54	0.00132177	458855	458855
1:1:55	0.00128986	263813	263813
1:1:56	0.0012739	214640	214640
1:1:57	0.00126459	272518	272518
1:1:58	0.00126193	194415	194415
1:1:59	0.00125661	334156	334156
1:1:60	0.00124597	348706	348706
1:1:61	0.00121539	254083	254083
1:1:62	0.00117151	4523	4523
1:1:63	0.00116486	443456	443456
1:1:64	0.00114624	335813	335813
1:1:65	0.00113826	348211	348211
1:1:66	0.00109837	435488	435488
1:1:67	0.00105449	341561	341561
1:1:68	0.00104518	428613	428613
1:1:69	0.00100928	3199	3199
1:1:70	0.000995982	297823	297823
1:1:71	0.000988003	422063	422063
1:1:72	0.000985344	452058	452058
1:1:73	0.000977365	349930	349930
1:1:74	0.000958749	304957	304957
1:1:75	0.000956089	457969	457969
1:1:76	0.000942792	64073	64073
1:1:77	0.000937473	10967	10967
1:1:78	0.000916197	383836	383836
1:1:79	0.00089891	36850	36850
1:1:80	0.000892261	427915	427915
1:1:81	0.000869655	318929	318929
1:1:82	0.000863007	295644	295644
1:1:83	0.000861677	458641	458641
1:1:84	0.000848379	180742	180742
1:1:85	0.000836412	63899	63899
1:1:86	0.000805827	440294	440294
1:1:87	0.000788541	458069	458069
1:1:88	0.000781892	353255	353255
1:1:89	0.000704767	160726	160726
1:1:90	0.000691469	127261	127261
1:1:91	0.000662215	314154	314154
1:1:92	0.000658225	235788	235788
1:1:93	0.000656896	219992	219992
1:1:94	0.000648917	173055	173055
1:1:95	0.000646258	204423	204423
1:1:96	0.00063429	376576	376576
1:1:97	0.000627641	136395	136395
1:1:98	0.000622322	242415	242415
1:1:99	0.000590408	150435	150435
1:1:100	0.000585089	414571	414571
1:1:101	0.000567803	121809	121809
1:1:102	0.000553175	289153	289153
1:1:103	0.000551846	323159	323159
1:1:104	0.000546527	41002	41002
1:1:105	0.000539878	19971	19971
1:1:106	0.00053057	460309	460309
1:1:107	0.00052658	201174	201174
1:1:108	0.000521261	111839	111839
1:1:109	0.000518602	6798	6798
1:1:110	0.000517272	397450	397450
1:1:111	0.000513283	431598	431598
1:1:112	0.000499985	349282	349282
1:1:113	0.00047605	144582	144582
1:1:114	0.00047472	13831	13831
1:1:115	0.000470731	13588	13588
1:1:116	0.000464082	318222	318222
1:1:117	0.000462752	93080	93080
1:1:118	0.000462752	39125	39125
1:1:119	0.000453444	7893	7893
1:1:120	0.000446795	449094	449094
1:1:121	0.000446795	194653	194653
1:1:122	0.000444136	217233	217233
1:1:123	0.000441476	307087	307087
1:1:124	0.000425519	94830	94830
1:1:125	0.000409562	50191	50191
1:1:126	0.000406903	242125	242125
1:1:127	0.000405573	97706	97706
1:1:128	0.000402914	37342	37342
1:1:129	0.000390946	254360	254360
1:1:130	0.000386957	50760	50760
1:1:131	0.000386957	40147	40147
1:1:132	0.000384297	300770	300770
1:1:133	0.000382968	195770	195770
1:1:134	0.000361692	203761	203761
1:1:135	0.000356373	371517	371517
1:1:136	0.000349724	107916	107916
1:1:137	0.000343075	396253	396253
1:1:138	0.000343075	59781	59781
1:1:139	0.000340416	94263	94263
1:1:140	0.000340416	314857	314857
1:1:141	0.00031648	420349	420349
1:1:142	0.000309831	191609	191609
1:1:143	0.000307172	2098	2098
1:1:144	0.000303183	223583	223583
1:1:145	0.000299193	393221	393221
1:1:146	0.000299193	365019	365019
1:1:147	0.000299193	163926	163926
1:1:148	0.000292545	269975	269975
1:1:149	0.000292545	173691	173691
1:1:150	0.000287226	297848	297848
1:1:151	0.000280577	256013	256013
1:1:152	0.000277917	380245	380245
1:1:153	0.000277917	203093	203093
1:1:154	0.000276588	1805078	1805078
1:1:155	0.000276588	110728	110728
1:1:156	0.000272598	66465	66465
1:1:157	0.000272598	1382883	1382883
1:1:158	0.000271269	239603	239603
1:1:159	0.000271269	108485	108485
1:1:160	0.000269939	240893	240893
1:1:161	0.000267279	383934	383934
1:1:162	0.000267279	372655	372655
1:1:163	0.00026595	361793	361793
1:1:164	0.00026595	476429	476429
1:1:165	0.00026462	312812	312812
1:1:166	0.00026462	440636	440636
1:1:167	0.00026329	433148	433148
1:1:168	0.000260631	339308	339308
1:1:169	0.000259301	118799	118799
1:1:170	0.000259301	410613	410613
1:1:171	0.000249993	389900	389900
1:1:172	0.000242014	97283	97283
1:1:173	0.000235365	39080	39080
1:1:174	0.000235365	404367	404367
1:1:175	0.000235365	249609	249609
1:1:176	0.000234036	202416	202416
1:1:177	0.000232706	443170	443170
1:1:178	0.000232706	415861	415861
1:1:179	0.000230046	371900	371900
1:1:180	0.000226057	281642	281642
1:1:181	0.000224727	317331	317331
1:1:182	0.000223398	69069	69069
1:1:183	0.000222068	416903	416903
1:1:184	0.000222068	557967	557967
1:1:185	0.000220738	292431	292431
1:1:186	0.000219408	299107	299107
1:1:187	0.00021143	81305	81305
1:1:188	0.00021143	437223	437223
1:1:189	0.000204781	215001	215001
1:1:190	0.000199462	405414	405414
1:1:191	0.000196803	415892	415892
1:1:192	0.000194143	423416	423416
1:1:193	0.000194143	387418	387418
1:1:194	0.000192814	460605	460605
1:1:195	0.000192814	372888	372888
1:1:196	0.000192814	410309	410309
1:1:197	0.000191484	326649	326649
1:1:198	0.000190154	65612	65612
1:1:199	0.000187495	490130	490130
1:1:200	0.000187495	27542	27542
1:1:201	0.000187495	259564	259564
1:1:202	0.000184835	370197	370197
1:1:203	0.000184835	131082	131082
1:1:204	0.000182176	246375	246375
1:1:205	0.000180846	228480	228480
1:1:206	0.000180846	187468	187468
1:1:207	0.000179516	8076	8076
1:1:208	0.000176857	350680	350680
1:1:209	0.000176857	450193	450193
1:1:210	0.000175527	306423	306423
1:1:211	0.000172867	244579	244579
1:1:212	0.000170208	340987	340987
1:1:213	0.000167548	263547	263547
1:1:214	0.000166219	422631	422631
1:1:215	0.000162229	282930	282930
1:1:216	0.0001609	23625	23625
1:1:217	0.000154251	317509	317509
1:1:218	0.000150262	30102	30102
1:1:219	0.000150262	77505	77505
1:1:220	0.000150262	25087	25087
1:1:221	0.000148932	16897	16897
1:1:222	0.000146272	188351	188351
1:1:223	0.000146272	88861	88861
1:1:224	0.000140953	76634	76634
1:1:225	0.000140953	85795	85795
1:1:226	0.000140953	317390	317390
1:1:227	0.000139624	1960	1960
1:1:228	0.000138294	479508	479508
1:1:229	0.000136964	175240	175240
1:1:230	0.000136964	36835	36835
1:1:231	0.000136964	271714	271714
1:1:232	0.000135634	109875	109875
1:1:233	0.000134305	163990	163990
1:1:234	0.000127656	6038	6038
1:1:235	0.000126326	328043	328043
1:1:236	0.000126326	491495	491495
1:1:237	0.000126326	284451	284451
1:1:238	0.000123667	360006	360006
1:1:239	0.000121007	345685	345685
1:1:240	0.000119677	41192	41192
1:1:241	0.000118348	412373	412373
1:1:242	0.000117018	289936	289936
1:1:243	0.000117018	439427	439427
1:1:244	0.000115688	378491	378491
1:1:245	0.000114358	320093	320093
1:1:246	0.000114358	137021	137021
1:1:247	0.000110369	200575	200575
1:1:248	0.000109039	212937	212937
1:1:249	0.000109039	358248	358248
1:1:250	0.00010771	2415608	2415608
1:1:251	0.00010771	98815	98815
1:1:252	0.00010638	398197	398197
1:1:253	0.00010505	455127	455127
1:1:254	0.00010505	220220	220220
1:1:255	0.00010505	112116	112116
1:1:256	0.00010372	247327	247327
1:1:257	0.00010372	258158	258158
1:1:258	0.00010372	43152	43152
1:1:259	0.000102391	158199	158199
1:1:260	0.000102391	77950	77950
1:1:261	9.97E-05	204768	204768
1:1:262	9.97E-05	292599	292599
1:1:263	9.84E-05	242271	242271
1:1:264	9.71E-05	346501	346501
1:1:265	9.57E-05	214266	214266
1:1:266	9.57E-05	402290	402290
1:1:267	9.44E-05	66367	66367
1:1:268	9.44E-05	170343	170343
1:1:269	9.31E-05	596929	596929
1:1:270	9.04E-05	34802	34802
1:1:271	9.04E-05	141446	141446
1:1:272	9.04E-05	28133	28133
1:1:273	8.78E-05	233203	233203
1:1:274	8.64E-05	33152	33152
1:1:275	8.64E-05	33656	33656
1:1:276	8.51E-05	70589	70589
1:1:277	8.51E-05	251805	251805
1:1:278	8.38E-05	55658	55658
1:1:279	8.38E-05	98720	98720
1:1:280	8.38E-05	281451	281451
1:1:281	8.38E-05	319435	319435
1:1:282	8.24E-05	72792	72792
1:1:283	8.24E-05	408783	408783
1:1:284	8.24E-05	335430	335430
1:1:285	8.11E-05	344699	344699
1:1:286	7.98E-05	22363	22363
1:1:287	7.98E-05	89048	89048
1:1:288	7.98E-05	331369	331369
1:1:289	7.85E-05	187692	187692
1:1:290	7.71E-05	50440	50440
1:1:291	7.71E-05	435498	435498
1:1:292	7.58E-05	191269	191269
1:1:293	7.31E-05	414911	414911
1:1:294	7.31E-05	425423	425423
1:1:295	7.31E-05	390320	390320
1:1:296	7.05E-05	96329	96329
1:1:297	6.91E-05	452078	452078
1:1:298	6.91E-05	41441	41441
1:1:299	6.78E-05	269290	269290
1:1:300	6.65E-05	417253	417253
