Id,modularity_class
16,0
38,19
161,0
215,8
237,4
256,8
262,0
298,4
379,2
554,1
593,4
763,1
796,4
835,2
1024,2
1196,6
1251,0
1299,0
1426,2
1442,4
1451,0
1784,0
1873,0
1902,0
1960,0
2042,2
2098,1
2246,42
2367,2
2493,4
2673,2
2788,2
2962,2
3090,4
3125,2
3163,8
3199,1
3404,8
3446,0
3455,8
3475,2
3476,41
3555,5
3618,2
3721,2
3866,4
3946,1
4008,0
4048,2
4078,9
4204,6
4216,0
4253,175
4523,1
4647,2
4846,3
5062,2
5170,2
5205,4
5274,0
5288,36
5294,0
5504,2
5523,0
5577,15
5621,26
5675,18
5827,1
6017,0
6038,1
6347,4
6494,8
6614,0
6642,0
6692,2
6748,19
6798,1
6941,1
7091,228
7170,4
7251,41
7300,2
7355,2
7490,52
7815,1
7893,1
7917,19
7971,1
8076,1
8083,4
8218,2
8284,0
8366,2
8496,2
8528,94
8646,8
8747,1
8854,0
8874,4
8883,41
8973,1
9200,8
9539,7
9640,41
9677,41
9816,2
9882,3
10106,8
10331,6
10376,2
10446,4
10483,2
10491,0
10562,2
10579,2
10646,2
10660,2
10792,41
10804,1
10824,3
10967,1
11096,0
11132,2
11199,23
11242,0
11370,0
11572,3
11681,2
11704,0
11741,57
11765,10
11786,2
11909,2
12068,2
12129,2
12169,97
12321,8
12374,4
12580,8
12852,0
12893,2
12926,9
12974,2
13049,65
13104,2
13269,14
13327,5
13522,8
13588,1
13619,0
13648,9
13831,1
13919,2
14032,0
14045,2
14089,68
14104,3
14112,4
14133,0
14191,3
14308,3
14421,41
14586,20
14627,0
14688,6
14799,21
15085,4
15150,9
15190,3
15328,38
15442,27
15531,6
15585,4
15718,2
15727,2
15750,0
15927,2
15942,2
15971,2
16042,3
16062,2
16132,2
16193,0
16211,5
16271,4
16280,2
16294,1
16327,8
16336,204
16400,2
16456,2
16479,2
16617,15
16618,1
16626,2
16648,1
16722,2
16724,41
16803,43
16897,1
16903,0
16959,8
17065,7
17077,2
17191,15
17257,2
17346,2
17362,0
17531,41
17578,2
17674,0
17686,1
17724,8
17731,9
17921,132
18205,1
18305,2
18537,4
18584,2
18661,2
18720,2
18763,0
18775,2
18821,2
18908,19
18987,17
19003,135
19033,6
19050,2
19111,2
19322,2
19366,74
19390,6
19405,38
19495,6
19789,28
19833,69
19859,4
19920,9
19930,41
19941,35
19971,1
20353,17
20444,4
20559,41
20592,8
20594,8
20851,4
20861,34
20880,24
20904,1
20954,41
21081,6
21167,2
21268,2
21376,5
21660,2
21690,2
21698,1
21762,2
21797,2
21830,2
21967,0
21983,0
22167,2
22179,235
22181,0
22242,0
22316,6
22348,2
22354,2
22363,1
22482,2
22805,3
22845,4
22904,4
22942,42
23035,2
23046,2
23120,113
23270,167
23304,4
23337,0
23496,8
23625,1
23636,5
23643,6
23715,2
23833,2
23859,0
23871,72
23912,4
23928,0
23981,0
24277,6
24353,4
24369,8
24378,0
24389,41
24546,2
24664,226
24722,2
24868,8
24964,2
25022,0
25087,1
25120,1
25228,1
25296,1
25309,0
25417,182
25449,1
25465,2
25580,0
25614,2
25747,2
25855,2
25876,19
25959,8
26073,19
26127,243
26210,0
26316,0
26401,2
26486,0
26614,85
26672,2
26968,2
27070,0
27074,3
27153,1
27268,2
27487,15
27542,1
27545,0
27652,4
27738,2
27913,7
27932,4
27956,8
28085,2
28120,7
28124,52
28133,1
28217,146
28250,8
28350,1
28351,5
28372,1
28482,8
28682,179
28714,8
28765,4
28863,8
28904,58
28924,3
29106,16
29115,2
29170,15
29183,1
29303,8
29305,0
29358,2
29367,3
29421,0
29557,1
29588,1
29611,19
29682,0
29707,1
29744,22
29823,2
29841,2
29995,2
30056,2
30102,1
30150,2
30441,140
30493,1
30519,2
30533,2
30746,2
30799,14
30844,1
31021,4
31027,147
31180,6
31185,8
31312,5
31395,7
31471,2
31506,2
31758,2
31832,41
31906,2
31909,4
32197,4
32310,8
32338,2
32458,3
32507,4
32646,2
32770,1
32789,2
32914,2
33071,41
33075,2
33132,0
33152,1
33168,2
33186,8
33190,5
33210,5
33246,0
33293,64
33488,1
33500,1
33523,7
33633,2
33656,1
33949,2
33969,1
33994,8
34070,4
34117,50
34171,2
34190,8
34210,195
34267,2
34317,3
34328,26
34347,1
34348,2
34363,5
34447,41
34473,2
34567,2
34714,33
34735,0
34802,1
34973,8
34988,0
35105,0
35153,4
35200,2
35248,19
35285,2
35457,2
35470,2
35494,2
35570,1
35826,1
35830,4
35923,1
36022,2
36209,2
36250,19
36323,13
36329,0
36349,4
36384,1
36393,4
36421,0
36445,1
36459,2
36481,8
36730,6
36732,19
36804,36
36835,1
36850,1
36928,8
36944,0
37054,2
37123,2
37141,0
37159,1
37204,0
37342,1
37356,8
37365,3
37450,0
37451,55
37487,195
37526,2
37611,63
37740,0
37838,0
37849,8
37867,8
38111,6
38112,1
38145,1
38178,2
38195,41
38259,2
38333,2
38409,4
38624,2
38691,3
38797,2
38944,15
38951,2
39069,2
39080,1
39125,1
39145,8
39173,1
39273,2
39296,4
39397,2
39439,8
39458,2
39465,2
39557,19
39574,0
39604,0
39619,16
39652,1
39910,2
39911,2
39933,0
39983,4
40033,23
40035,2
40111,41
40115,8
40146,108
40147,1
40274,1
40281,10
40300,2
40307,2
40319,53
40320,2
40453,17
40490,0
40523,2
40714,20
40829,6
40843,7
40871,2
40970,0
41002,1
41004,2
41074,1
41090,1
41107,17
41192,1
41237,5
41249,2
41337,0
41441,1
41446,2
41515,1
41598,27
41599,2
41602,33
41609,17
41707,0
41781,2
41855,0
41897,2
41923,2
42123,2
42165,2
42210,2
42231,0
42296,2
42323,2
42479,2
42519,41
42534,2
42548,1
42559,9
42586,1
42654,19
42659,2
42714,2
42731,2
43003,2
43033,3
43039,41
43089,3
43142,41
43152,1
43211,2
43236,1
43296,4
43300,2
43371,14
43426,89
43539,4
43575,0
43782,2
43857,0
44070,41
44142,2
44350,3
44358,9
44600,42
44601,0
44608,0
44733,2
44736,17
44848,2
44874,3
44930,10
45206,4
45207,2
45245,2
45261,8
45313,126
45434,2
45443,40
45504,0
45508,2
45510,125
45530,6
45583,2
45834,8
45846,5
45867,8
45929,2
46005,1
46012,2
46032,17
46045,4
46063,2
46097,8
46127,2
46166,6
46174,2
46509,5
46594,2
46604,6
46610,19
46716,2
46735,8
46969,0
47056,2
47210,4
47306,37
47400,2
47423,2
47593,2
