Source,Target,Type,Id,Label,Weight
268109,332897,Undirected,0,,3
268109,12852,Undirected,1,,85
268109,314282,Undirected,2,,6
268109,163608,Undirected,3,,222
268109,398876,Undirected,4,,53
268109,211676,Undirected,5,,29
268109,390071,Undirected,6,,8
268109,165445,Undirected,7,,213
268109,192358,Undirected,8,,205
268109,312812,Undirected,9,,4
268109,20904,Undirected,10,,8
268109,446045,Undirected,11,,3
268109,4523,Undirected,12,,8
268109,405414,Undirected,13,,5
268109,44608,Undirected,14,,10
268109,383485,Undirected,15,,3
268109,155435,Undirected,16,,3
268109,329500,Undirected,17,,4
268109,66640,Undirected,18,,6
268109,250291,Undirected,19,,113
268109,349282,Undirected,20,,3
268109,362133,Undirected,21,,11
268109,150435,Undirected,22,,6
268109,321451,Undirected,23,,62
268109,348171,Undirected,24,,2
268109,327152,Undirected,25,,6
268109,165975,Undirected,26,,21
268109,330469,Undirected,27,,15
268109,257228,Undirected,28,,22
268109,71777,Undirected,29,,5
268109,283423,Undirected,30,,7
268109,249638,Undirected,31,,59
268109,228450,Undirected,32,,16
268109,334632,Undirected,33,,9
268109,409056,Undirected,34,,95
268109,499914,Undirected,35,,3
268109,336233,Undirected,36,,4
268109,180681,Undirected,37,,181
268109,169843,Undirected,38,,57
268109,434359,Undirected,39,,20
268109,110898,Undirected,40,,60
268109,389900,Undirected,41,,3
268109,159172,Undirected,42,,22
268109,405164,Undirected,43,,19
268109,448319,Undirected,44,,10
268109,371959,Undirected,45,,30
268109,51948,Undirected,46,,21
268109,307171,Undirected,47,,90
268109,137387,Undirected,48,,4
268109,278853,Undirected,49,,10
268109,16,Undirected,50,,78
268109,22242,Undirected,51,,12
268109,225990,Undirected,52,,21
268109,74599,Undirected,53,,13
268109,185817,Undirected,54,,4
268109,222880,Undirected,55,,77
268109,137021,Undirected,56,,2
268109,345973,Undirected,57,,11
268109,430981,Undirected,58,,2
268109,82628,Undirected,59,,48
268109,286766,Undirected,60,,12
268109,59781,Undirected,61,,5
268109,211092,Undirected,62,,8
268109,201174,Undirected,63,,5
268109,69069,Undirected,64,,2
268109,390320,Undirected,65,,4
268109,41441,Undirected,66,,4
268109,244445,Undirected,67,,2
268109,376202,Undirected,68,,13
268109,397450,Undirected,69,,24
268109,314698,Undirected,70,,17
268109,174191,Undirected,71,,3
268109,157744,Undirected,72,,33
268109,309240,Undirected,73,,16
268109,136299,Undirected,74,,9
268109,353309,Undirected,75,,16
268109,360811,Undirected,76,,4
268109,266098,Undirected,77,,3
268109,510480,Undirected,78,,3
268109,134197,Undirected,79,,2
268109,304675,Undirected,80,,3
268109,431598,Undirected,81,,6
268109,339429,Undirected,82,,2
268109,306228,Undirected,83,,5
268109,226782,Undirected,84,,37
268109,41707,Undirected,85,,3
268109,25022,Undirected,86,,4
268109,420554,Undirected,87,,5
268109,360184,Undirected,88,,5
268109,122253,Undirected,89,,4
268109,132091,Undirected,90,,3
268109,124821,Undirected,91,,4
268109,300773,Undirected,92,,8
268109,50704,Undirected,93,,2
268109,340062,Undirected,94,,2
268109,8284,Undirected,95,,2
268109,45504,Undirected,96,,2
268109,401531,Undirected,97,,2
268109,712425,Undirected,98,,3
268109,416091,Undirected,99,,11
