Id,order,stance_1,stance_2,stance_3
38951,1,1 (pro),1 (pro),2 (neutral)
454904,2,1 (pro),2 (neutral),1 (pro)
132873,3,1 (pro),1 (pro),1 (pro)
163608,4,3 (anti),3 (anti),2 (neutral)
12852,5,2 (neutral),2 (neutral),2 (neutral)
364448,6,1 (pro),1 (pro),2 (neutral)
92954,7,1 (pro),1 (pro),2 (neutral)
165445,8,3 (anti),3 (anti),2 (neutral)
409056,9,3 (anti),3 (anti),3 (anti)
233210,10,2 (neutral),2 (neutral),2 (neutral)
12852,11,1 (pro),2 (neutral),1 (pro)
268109,12,3 (anti),2 (neutral),2 (neutral)
273946,13,1 (pro),1 (pro),1 (pro)
38951,14,1 (pro),1 (pro),1 (pro)
165445,15,2 (neutral),2 (neutral),2 (neutral)
250291,16,2 (neutral),2 (neutral),2 (neutral)
371959,17,3 (anti),2 (neutral),3 (anti)
454904,18,1 (pro),2 (neutral),1 (pro)
180681,19,2 (neutral),2 (neutral),2 (neutral)
409056,20,2 (neutral),2 (neutral),3 (anti)
307171,21,3 (anti),3 (anti),3 (anti)
259708,22,1 (pro),1 (pro),1 (pro)
307171,23,3 (anti),3 (anti),2 (neutral)
164792,24,3 (anti),2 (neutral),3 (anti)
118674,25,1 (pro),1 (pro),1 (pro)
140865,26,1 (pro),2 (neutral),2 (neutral)
259708,27,2 (neutral),1 (pro),2 (neutral)
444562,28,1 (pro),2 (neutral),2 (neutral)
49572,29,3 (anti),3 (anti),3 (anti)
164792,30,2 (neutral),2 (neutral),3 (anti)
163608,31,3 (anti),3 (anti),3 (anti)
371959,32,3 (anti),3 (anti),3 (anti)
180681,33,1 (pro),1 (pro),1 (pro)
38951,34,1 (pro),1 (pro),1 (pro)
41599,35,2 (neutral),1 (pro),2 (neutral)
405164,36,2 (neutral),2 (neutral),2 (neutral)
453333,37,2 (neutral),2 (neutral),2 (neutral)
432674,38,1 (pro),1 (pro),1 (pro)
140865,39,2 (neutral),2 (neutral),2 (neutral)
307171,40,3 (anti),3 (anti),2 (neutral)
454904,41,2 (neutral),2 (neutral),2 (neutral)
132873,42,1 (pro),1 (pro),1 (pro)
