"label","is_PE","Id","Degree","Betweenness","PageRank","Bridge","path","flow","name","path1","path2","path3","submod","Community","Bridge_stars","Degree_stars","Betweenness_stars","PageRank_stars"
"individual, non-P.E.",FALSE,355797,125,34539.6891310843,0.00069692745760497,5,"2:1:29",0.00079386,355797,2,1,29,"2 1","Pro-vaccine","*","*","*","*"
"Description",TRUE,364545,35,9668.3199587658,0.000118108227431746,0,"2:1:113",0.000121007,364545,2,1,113,"2 1","Pro-vaccine","*","*","*","*"
"individual, non-P.E.",FALSE,85648,397,246000.48726018,0.00389381579071412,4,"2:1:10",0.00422993,85648,2,1,10,"2 1","Pro-vaccine","*","**","**","**"
"Description",TRUE,467329,4,21292,9.43109605390888e-05,0,"2:68:4",1.6e-05,467329,2,68,4,"2 68","Pro-vaccine","*","","*",""
"non-individual",NA,136357,50,11214.9379748971,0.000177455628858728,1,"2:2:82",0.000202122,136357,2,2,82,"2 2","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,452617,114,81030.5472436461,0.00103384905044396,16,"1:4:3",0.00142549,452617,1,4,3,"1 4","Anti-vaccine","**","*","**","**"
"Description",TRUE,98815,32,2235.90081968132,6.57179866855272e-05,0,"1:1:251",0.00010771,98815,1,1,251,"1 1","Anti-vaccine","*","*","*",""
"individual, non-P.E.",FALSE,73141,165,63222.9023245522,0.000949596949803064,0,"2:2:8",0.00131113,73141,2,2,8,"2 2","Pro-vaccine","*","**","*","**"
"Both",TRUE,405164,214,62390.149384455,0.000941375297372198,2,"1:1:40",0.00178452,405164,1,1,40,"1 1","Anti-vaccine","*","**","**","**"
"individual, non-P.E.",FALSE,165445,714,1271792.45710205,0.00673911462537543,33,"1:2:1",0.011259,165445,1,2,1,"1 2","Anti-vaccine","***","**","**","**"
"individual, non-P.E.",FALSE,373450,21,579.010167221509,0.000103198286055686,0,"2:1:126",0.000101061,373450,2,1,126,"2 1","Pro-vaccine","*","*","","*"
"non-individual",NA,166484,46,1757.49903806624,0.000256689105948201,0,"2:1:63",0.000283236,166484,2,1,63,"2 1","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,37204,9,515.215549907569,3.52405905823101e-05,0,"1:2:159",2.93e-05,37204,1,2,159,"1 2","Anti-vaccine","*","","",""
"non-individual",NA,196203,2,380.653285973811,3.91843800421118e-05,0,"2:33:14",5.32e-06,196203,2,33,14,"2 33","Pro-vaccine","","","",""
"non-individual",NA,251913,194,327616.845356184,0.00125854349692137,12,"2:3:10",0.00117949,251913,2,3,10,"2 3","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,147534,15,1515.88955227281,4.49780405513449e-05,0,"1:2:131",4.79e-05,147534,1,2,131,"1 2","Anti-vaccine","*","","",""
"individual, non-P.E.",FALSE,167142,73,9695.88909932487,0.000322725423751715,0,"1:2:44",0.000566473,167142,1,2,44,"1 2","Anti-vaccine","*","*","*","*"
"non-individual",NA,277693,447,1037504.71112424,0.00334852120292101,87,"2:3:1",0.00329911,277693,2,3,1,"2 3","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,180681,483,598168.812136762,0.00460996895637599,19,"1:2:4",0.00717798,180681,1,2,4,"1 2","Anti-vaccine","**","**","**","**"
NA,NA,396522,1,0,2.25847435768842e-05,0,"1:1:650",2.66e-06,396522,1,1,650,"1 1","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,348007,65,65592.9686915242,0.000444697608049734,1,"2:18:1",0.000348394,348007,2,18,1,"2 18","Pro-vaccine","*","*","*","*"
"individual, non-P.E.",FALSE,401023,7,449.824961340027,4.05375202110519e-05,2,"2:6:51",1.99e-05,401023,2,6,51,"2 6","Pro-vaccine","*","","",""
"individual, non-P.E.",FALSE,262657,26,8498.08550511824,0.000109724763525907,0,"2:1:134",9.44e-05,262657,2,1,134,"2 1","Pro-vaccine","*","*","*","*"
"non-individual",NA,146417,72,91922.1048920521,0.000471801460634641,3,"2:8:2",0.000249993,146417,2,8,2,"2 8","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,111324,3,0,0.000134537025770533,0,"2:68:1",2.26e-05,111324,2,68,1,"2 68","Pro-vaccine","*","","","*"
