"Id","path1","is_PE","old_path1","in_orig","old_comm","old_comm.is_PE","path1.is_PE","Community","Degree","Betweenness","PageRank","Bridge"
100011,2,TRUE,NA,FALSE,NA,"NA TRUE","2 TRUE","Pro-vaccine",2,84.7930254434663,1.50064918196213e-05,0
1000256,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",21,141.54385254152,2.24064123556076e-05,0
1000458,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,23,509.329834043268,2.13935955040561e-05,0
1000475,2,NA,NA,FALSE,NA,"NA NA","2 NA","Pro-vaccine",1,0,1.51039849587389e-05,0
100055,1,TRUE,NA,FALSE,NA,"NA TRUE","1 TRUE","Anti-vaccine",5,54.759179420325,1.60427945255319e-05,0
1000599,3,NA,3,TRUE,"micro","micro NA","3 NA",NA,36,927.613707959132,2.36668818995357e-05,0
100112,1,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","1 FALSE","Anti-vaccine",17,18.2833333333333,2.19276826609979e-05,2
1001123,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",83,3948.55433513771,6.44562716920085e-05,0
1001467,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",38,216.979177766678,3.00770114228336e-05,0
100207,2,NA,2,TRUE,"Pro-vaccine","Pro-vaccine NA","2 NA","Pro-vaccine",95,13884.447714579,9.32043809981313e-05,5
1002313,3,NA,NA,FALSE,NA,"NA NA","3 NA",NA,72,7383.95907363476,4.84041365295684e-05,0
1002360,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,1,0,1.45848377313825e-05,0
100254,2,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","2 FALSE","Pro-vaccine",399,176266.865216925,0.000546640348464832,172
100273,6,FALSE,11,TRUE,"micro","micro FALSE","6 FALSE",NA,1,0,2.10246202502141e-05,0
1003,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",7,27.25,1.70271624212262e-05,0
1003211,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",6,7,1.86734412609702e-05,0
1003701,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",1,0,1.45619828336365e-05,0
1004075,3,TRUE,NA,FALSE,NA,"NA TRUE","3 TRUE",NA,123,575.700180375182,5.43728672627067e-05,0
1004129,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",64,495.653968253968,5.97269616367966e-05,0
100444,1,NA,NA,FALSE,NA,"NA NA","1 NA","Anti-vaccine",15,18.2095238095238,2.18291845510007e-05,0
1005365,3,FALSE,3,TRUE,"micro","micro FALSE","3 FALSE",NA,287,1403.48135977634,0.000221353574599777,0
1005453,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",1,0,1.4732617851169e-05,0
1005455,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,12,253.494083696898,1.6927702977137e-05,0
1005466,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",29,3672.09716312096,2.8127835261321e-05,0
100560,2,FALSE,2,TRUE,"Pro-vaccine","Pro-vaccine FALSE","2 FALSE","Pro-vaccine",101,50242.991211761,0.000313709843529411,7
100586,1,NA,1,TRUE,"Anti-vaccine","Anti-vaccine NA","1 NA","Anti-vaccine",31,2181.11626984127,9.74879831523339e-05,3
1005865,87,FALSE,NA,FALSE,NA,"NA FALSE","87 FALSE",NA,1,0,9.54562810233258e-05,0
100613,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",195,348.398207142015,0.000108486753877212,0
100683,2,NA,2,TRUE,"Pro-vaccine","Pro-vaccine NA","2 NA","Pro-vaccine",3,1,3.44314809818646e-05,0
10070,2,NA,NA,FALSE,NA,"NA NA","2 NA","Pro-vaccine",5,22,3.19457823872925e-05,0
100716,2,FALSE,2,TRUE,"Pro-vaccine","Pro-vaccine FALSE","2 FALSE","Pro-vaccine",31,690.276701232877,2.21483313569256e-05,0
100762,2,NA,2,TRUE,"Pro-vaccine","Pro-vaccine NA","2 NA","Pro-vaccine",3,0,3.5742442883514e-05,0
100792,2,NA,2,TRUE,"Pro-vaccine","Pro-vaccine NA","2 NA","Pro-vaccine",53,27299.3164961202,0.000130136524524326,0
1008543,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",4,23.1428571428571,1.64488366143465e-05,0
1008677,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",10,291.597745660677,1.86105235081108e-05,0
1008756,2,NA,NA,FALSE,NA,"NA NA","2 NA","Pro-vaccine",6,0,4.80479242381608e-05,0
10096,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",3,30.0854080032413,1.49837330061475e-05,0
100968,2,FALSE,2,TRUE,"Pro-vaccine","Pro-vaccine FALSE","2 FALSE","Pro-vaccine",65,171177.671616704,0.000288280488588601,4
10106,1,NA,1,TRUE,"Anti-vaccine","Anti-vaccine NA","1 NA","Anti-vaccine",4,0,2.19570681607451e-05,0
101099,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",23,567.913613956051,1.92045899778374e-05,0
101119,3,FALSE,3,TRUE,"micro","micro FALSE","3 FALSE",NA,193,801.873784548784,0.000106621696881909,0
1011401,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",4,753.966666666667,1.89027276082818e-05,0
1011406,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",2,0,1.48136810146566e-05,0
1012054,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",9,0.4,2.96645056826769e-05,0
101223,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",135,14844.9564889698,8.87257012512752e-05,0
101227,3,FALSE,3,TRUE,"micro","micro FALSE","3 FALSE",NA,1,0,1.46217128878525e-05,0
101242,3,NA,3,TRUE,"micro","micro NA","3 NA",NA,210,23491.7193848267,0.000168596524099896,0
101254,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,140,1046.47153679654,6.36548640292596e-05,0
1013309,6,FALSE,11,TRUE,"micro","micro FALSE","6 FALSE",NA,6,1,5.8325320592454e-05,0
101347,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",5,37.5,1.90624767419826e-05,0
101431,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,32,414.835277076724,2.78301806437597e-05,0
101460,2,NA,126,TRUE,"micro","micro NA","2 NA","Pro-vaccine",8,13498.4360833611,7.36868124290651e-05,0
101525,67,NA,NA,FALSE,NA,"NA NA","67 NA",NA,1,0,9.54562810233258e-05,0
101531,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",28,279.528283068653,2.15534373645262e-05,0
1015375,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,46,630.542673160173,3.12680708166271e-05,0
101564,1,NA,NA,FALSE,NA,"NA NA","1 NA","Anti-vaccine",47,294.693681971623,3.44096480227015e-05,0
1016038,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,5,0,1.60114896303956e-05,0
101637,16,FALSE,5,TRUE,"micro","micro FALSE","16 FALSE",NA,1,0,2.59549647967329e-05,0
101638,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",53,158.176298701299,4.00210363532953e-05,0
1016524,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,1,0,1.45785489449658e-05,0
