"order","label","id","screen_name","name","description","missing"
5521,"individual, not P.E.","767","xeni","Xeni Jardin","http://patreon.com/xenijardin 📩 xeni@xeni.net",FALSE
5521,"individual, not P.E.","767","xeni","Xeni Jardin is fully vaccinated","http://patreon.com/xenijardin 📩 xeni@xeni.net",FALSE
572,"individual, not P.E.","10737","patphelan","Pat","click for more.                                     https://mo.na/patphelan",FALSE
5461,"individual, not P.E.","42373","baxiabhishek","Abhishek Baxi","Freelance Technology Journalist | Digital Consultant

📰 Writer: @MorningContext
💬 Founder: @ThePodcastHub
🎙 Podcast: @TheStringWithAB
📰 Newsletter: #CtrlN",FALSE
4079,"individual, not P.E.","51943","schmmuck","That Goan Guy","I'm just an eight ulcer man on four ulcer pay.",FALSE
2183,"individual, not P.E.","62103","bubbaprog","Timothy Burke","@Burkecomms/@WGAEast/@jobsitetheater/@LWVFlorida. Before that @thedailybeast & @deadspin. Beagle rescue foster dad, @scrippsjschool alum timothy.burke@gmail.com",FALSE
1750,"P.E.","246103","JeffreyGuterman","Dr. Jeffrey Guterman","Retired mental health counselor | #OTD #BaseballGuterman #BeatlesGuterman #GutermanDreams #MusicGuterman #ReflectionsGuterman #SportsGuterman #StratOMatic",FALSE
1750,"P.E.","246103","JeffreyGuterman","Dr. Jeffrey Guterman","Retired mental health counselor | #OTD #BaseballGuterman #BeatlesGuterman #MusicGuterman #ReflectionsGuterman #SportsGuterman #StratOMatic",FALSE
1750,"P.E.","246103","JeffreyGuterman","Dr. Jeffrey Guterman","Retired mental health counselor | #OTD #BaseballGuterman #BeatlesGuterman #MusicGuterman #ReflectionsGuterman #SportsGuterman #StratOMatic ⚾️",FALSE
1750,"P.E.","246103","JeffreyGuterman","Dr. Jeffrey Guterman","Retired mental health counselor | #OTD #BaseballGuterman #BeatlesGuterman #MusicGuterman #ReflectionsGuterman #SportsGuterman #StratOMatic ⚾️ #GunSafetyNow",FALSE
2560,"individual, not P.E.","465973","GuidoFawkes","Guido Fawkes","Get the Guidogram https://order-order.com/subscribe
Send tips to team@order-order.com
DMs are closed, use email or call 020 7193 4041.",FALSE
2813,"individual, not P.E.","640893","EWErickson","Erick Erickson","You can listen every day live 9am to 12pm ET at http://erickericksonshow.com",FALSE
4087,"individual, not P.E.","755284","logic","Srikanth ஸ்‌ரீகாந்த்","Pseudogeek | Free(dom) code, தமிழ், #CashlessConsumer, #DigitalPayments, #opendata #OSS fanboy, #publictransit #GovTech @logic@freeradical.zone
| Not @Logic301",FALSE
4087,"individual, not P.E.","755284","logic","Srikanth ஸ்‌ரீகாந்த்","Pseudogeek | Free(dom) code, தமிழ், #CashlessConsumer, #DigitalPayments, #opendata fanboy, #publictransit #GovTech @logic@freeradical.zone
| Not @Logic301",FALSE
3225,"individual, not P.E.","755504","AlexandraErin","Alexandra Erin","Alfie Award-Winning Author/Commentator

She/Her

Nonfiction: https://t.co/A1QTC3bz2e
Fiction: https://t.co/izMsIJ9kdY

Query: blueauthor@alexandraerin.com",FALSE
352,"individual, not P.E.","767396","ambermac","Amber Mac","🤖Bestselling Tech Author
👩‍💻Virtual Keynote Speaker
🎬President, AmberMac Media
🎙Co-host: The AI Effect, #TheFeed @siriusxm
📺TV Expert
🍵Sober since '01",FALSE
4053,"individual, not P.E.","797206","krishashok","Krish Ashok","Techie (http://in.linkedin.com/in/krishashok), Author of Masala Lab (https://penguin.co.in/book/masala-lab/), Musician (http://soundcloud.com/krishashok)",FALSE
6427,"individual, not P.E.","813286","BarackObama","Barack Obama","Dad, husband, President, citizen.",FALSE
6953,"individual, not P.E.","926601","vermontgmg","Garrett M. Graff","Journalist. Director, @aspencyber. Contributor, @WIRED, @CNN, @Longreads. Fmr ed, @PoliticoMag & @washingtonian. garrett.graff AT https://t.co/N8GNSmiLuw OR https://t.co/MvjLegq98s.",FALSE
3936,"individual, not P.E.","928481","AmandaMarcotte","Amanda Marcotte","Politics writer for http://Salon.com. Author of Troll Nation. https://www.amazon.com/Troll-Nation-American-Devolved-Clubhouse/dp/1510737456",FALSE
5042,"individual, not P.E.","1044241","brooklynmarie","Brooke Binkowski","Chaotic good lovable rogue. Retweets mean I'm in front of your house in an unmarked vehicle. Managing editor @erumors.",FALSE
5042,"individual, not P.E.","1044241","brooklynmarie","Brooke Binkowski","Your friendly neighborhood debunker. Chaotic good rogue. Managing editor, http://TruthOrFiction.com.",FALSE
5042,"individual, not P.E.","1044241","brooklynmarie","Brooke Binkowski","Your friendly neighborhood debunker. Chaotic good lovable rogue. Managing editor, http://TruthOrFiction.com (@erumors).",FALSE
3300,"individual, not P.E.","1049171","tomwatson","Tom Watson","Consultant: nonprofits, development, communications, political strategy. Professor, author, @Mets fan, guitar player, gardener.",FALSE
6780,"individual, not P.E.","1050111","PatrickRuffini","Patrick Ruffini","Account for measured hot takes. Republican Pollster @EchelonInsights",FALSE
1913,"individual, not P.E.","1137701","DavidSacks","David Sacks","Founder @Craft_Ventures Yammer PayPal. Over 20x🦄 💦🐦. Creator Bottom-Up SaaS Playbook. Producer Thank You For 🚬. Bestie @theallinpod. Anti-Hysteria Party.",FALSE
493,"non-individual","1223101","blogTO","blogTO","Toronto's source for local news and culture, restaurant reviews and the best of the city.",FALSE
6134,"non-individual","1767741","NYTNational","NYT National News","Breaking news and features from the National Desk of The New York Times. Follow our correspondents here: http://bit.ly/2n7nSmV",FALSE
5316,"individual, not P.E.","2083991","prabhuferrari","Prabhu","Traveler. I travel to office on weekdays. Foodie. I eat food daily.",FALSE
6859,"individual, not P.E.","2249531","AndrewFeinberg","Andrew Feinberg","Reporter covering White House, Hill, 2020, etc | seen in @Independent, Breakfast Media and others | tips: andrew @ andrewfeinberg-dotcom |dm 4 Signal/ProtonMail",FALSE
6859,"individual, not P.E.","2249531","AndrewFeinberg","Andrew Feinberg","Reporting on White House, Congress, etc | often seen in @Independent | send leaks, tips, dog pics to andrew @ andrewfeinberg-dotcom or dm 4 Signal/ProtonMail",FALSE
2189,"individual, not P.E.","3249651","teaberryblue","Tea Berry-Blue","I read comics at King Features. Pro-creator, pro-fandom. She/they. Queer. Opinions mine. 🐝♠️",FALSE
6404,"individual, not P.E.","3349241","TimFullerton","Tim Fullerton","Former digital for @BarackObama @Interior @Everytown @OxfamAmerica and more. From the great state of Maine. Views are my own.",FALSE
750,"non-english","4047721","acorn","Nitin Pai","“Eppur Si Mouve!”  Director of The Takshashila Institution @TakshashilaInst http://takshashila.org.in [Tweets are my personal opinions]",FALSE
1240,"individual, not P.E.","4126501","mihirssharma","Mihir Sharma","নাগরিক. Fellow at @orfonline. Columnist at @bopinion, Bloomberg Opinion, & @bsindia, Business Std. Author of 'Restart: the Last Chance for the Indian Economy'.",FALSE
5626,"non-individual","5402612","BBCBreaking","BBC Breaking News","Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",FALSE
881,"individual, not P.E.","5513002","Marmel","Steve Marmel","democracy and dogs",FALSE
881,"individual, not P.E.","5513002","Marmel","Steve Marmel","Democracy and Dogs. 
Snitch taggers may be hurled into block-blivion.",FALSE
4517,"individual, not P.E.","5665472","FarahNasser","Farah Nasser","Award Winning Journalist & News Anchor, @globalnewsto | Host #LivingInColour | @TEDx speaker | Daughter of Immigrants | Mama x2 Instagram: farahnasserglobal",FALSE
3560,"individual, not P.E.","5845492","tomgara","Tom Gara","through meditation i program my heart to beat breakbeats and hum basslines upon exhalation. (works at @facebook, views my own, etc)",FALSE
5576,"individual, not P.E.","6137652","juicemaster","Jason Vale","Sold over 6 million books, made a movie, built a retreat and have been on a mission to Juice The World for 20 years!",FALSE
5051,"individual, not P.E.","6251432","nasescobar316","Nas","I am the temple, I am the truth... ⚫️🐺 🇺🇸",FALSE
6471,"individual, not P.E.","6268872","KeithMillsD7","Keith Mills","Dublin based proud Limerick man. Current affairs and political commentator. Too hot for the @ireland account!
#andapedestrian #sexnotgender",FALSE
2069,"individual, not P.E.","6463042","sidin","Sidin","I currently use this fetid, shit-bucket of a hell-site for personal enrichment and self-promotion only. Please send email for chats.",FALSE
4367,"individual, not P.E.","6782812","domknight","Dom Knight","‘The 2020 Dictionary’ in bookshops now, or signed copies via http://chasershop.com.",FALSE
