"order","is_PE3","is_PE2","is_PE"
618,FALSE,FALSE,TRUE
7335,NA,NA,NA
3604,NA,NA,NA
4966,NA,NA,NA
6753,NA,NA,NA
3688,FALSE,FALSE,FALSE
3728,FALSE,FALSE,FALSE
5762,FALSE,FALSE,FALSE
2659,NA,NA,NA
5466,FALSE,FALSE,FALSE
3678,FALSE,FALSE,FALSE
6192,TRUE,TRUE,TRUE
3247,NA,NA,NA
725,NA,FALSE,FALSE
6123,NA,NA,NA
4102,FALSE,FALSE,FALSE
4728,FALSE,TRUE,TRUE
5439,NA,FALSE,FALSE
4886,FALSE,FALSE,FALSE
1426,FALSE,FALSE,FALSE
1339,FALSE,FALSE,FALSE
6818,FALSE,FALSE,FALSE
704,NA,NA,NA
3775,NA,FALSE,FALSE
6895,NA,NA,NA
465,FALSE,FALSE,FALSE
5902,FALSE,FALSE,FALSE
593,NA,FALSE,FALSE
3510,FALSE,FALSE,FALSE
6359,FALSE,NA,NA
2937,FALSE,FALSE,FALSE
6647,FALSE,FALSE,FALSE
2096,NA,NA,NA
2417,NA,NA,NA
1446,FALSE,FALSE,FALSE
4257,NA,NA,NA
691,NA,NA,NA
846,NA,NA,NA
5428,FALSE,NA,NA
2688,FALSE,NA,NA
6356,FALSE,TRUE,TRUE
3134,FALSE,NA,NA
5943,FALSE,FALSE,FALSE
5152,FALSE,NA,NA
2343,NA,NA,NA
4469,FALSE,FALSE,FALSE
2245,NA,TRUE,TRUE
2591,NA,NA,NA
7384,FALSE,FALSE,FALSE
351,NA,FALSE,NA
6828,FALSE,FALSE,FALSE
3653,FALSE,FALSE,FALSE
7019,FALSE,FALSE,FALSE
6172,NA,NA,NA
5754,FALSE,NA,NA
4574,FALSE,FALSE,FALSE
3895,NA,FALSE,FALSE
3123,FALSE,FALSE,FALSE
6770,FALSE,FALSE,FALSE
5236,FALSE,TRUE,TRUE
531,TRUE,TRUE,TRUE
6319,FALSE,TRUE,TRUE
6261,NA,TRUE,TRUE
4139,NA,NA,NA
6922,TRUE,TRUE,TRUE
7074,NA,NA,NA
5216,FALSE,FALSE,FALSE
4187,FALSE,FALSE,FALSE
3184,NA,NA,NA
94,FALSE,FALSE,FALSE
4243,FALSE,NA,NA
402,FALSE,FALSE,FALSE
62,FALSE,FALSE,FALSE
4031,FALSE,FALSE,FALSE
6313,NA,NA,FALSE
5204,NA,FALSE,NA
3716,NA,NA,NA
1742,FALSE,FALSE,FALSE
7357,NA,FALSE,FALSE
6538,NA,NA,NA
3952,FALSE,FALSE,FALSE
1899,NA,NA,NA
966,NA,FALSE,FALSE
6793,TRUE,TRUE,TRUE
19,FALSE,FALSE,FALSE
7507,NA,TRUE,TRUE
6161,FALSE,FALSE,FALSE
4610,FALSE,FALSE,FALSE
6959,NA,NA,NA
1994,FALSE,FALSE,FALSE
2361,NA,FALSE,NA
916,FALSE,FALSE,FALSE
1744,NA,NA,NA
2237,NA,NA,NA
458,FALSE,TRUE,TRUE
6717,FALSE,FALSE,FALSE
2140,NA,NA,NA
5295,FALSE,FALSE,FALSE
7308,NA,NA,NA
783,FALSE,FALSE,FALSE
5430,NA,NA,NA
7491,NA,NA,NA
3051,NA,TRUE,TRUE
6642,FALSE,FALSE,FALSE
7455,FALSE,FALSE,FALSE
3436,NA,NA,NA
1590,NA,NA,NA
5535,FALSE,FALSE,FALSE
1887,NA,NA,FALSE
6134,NA,NA,NA
4869,FALSE,TRUE,TRUE
2159,FALSE,FALSE,FALSE
453,FALSE,FALSE,FALSE
5801,FALSE,FALSE,FALSE
7148,TRUE,TRUE,TRUE
5198,TRUE,TRUE,TRUE
727,NA,FALSE,FALSE
2353,NA,NA,NA
4712,FALSE,FALSE,FALSE
4822,TRUE,TRUE,TRUE
2046,FALSE,FALSE,FALSE
6204,FALSE,FALSE,FALSE
5624,FALSE,FALSE,FALSE
291,FALSE,FALSE,FALSE
5068,NA,FALSE,FALSE
2903,FALSE,FALSE,FALSE
3320,FALSE,FALSE,FALSE
6009,FALSE,FALSE,FALSE
7413,FALSE,FALSE,FALSE
1839,NA,FALSE,FALSE
5257,FALSE,FALSE,FALSE
4434,FALSE,NA,NA
6634,FALSE,FALSE,FALSE
1551,TRUE,TRUE,TRUE
1051,FALSE,FALSE,FALSE
6110,NA,NA,NA
7307,NA,FALSE,FALSE
7221,FALSE,FALSE,FALSE
5416,NA,NA,NA
1230,FALSE,FALSE,FALSE
4330,NA,NA,NA
7068,FALSE,FALSE,FALSE
7256,FALSE,FALSE,FALSE
5913,FALSE,FALSE,FALSE
823,FALSE,FALSE,FALSE
2655,NA,NA,NA
913,FALSE,FALSE,FALSE
7448,FALSE,FALSE,FALSE
7669,FALSE,FALSE,FALSE
972,FALSE,FALSE,FALSE
2008,NA,NA,NA
533,FALSE,FALSE,FALSE
2316,NA,TRUE,TRUE
5267,FALSE,NA,NA
7490,FALSE,FALSE,FALSE
792,NA,NA,NA
3481,FALSE,FALSE,FALSE
5395,NA,NA,NA
5761,FALSE,FALSE,FALSE
1030,FALSE,FALSE,FALSE
1662,FALSE,TRUE,TRUE
4490,FALSE,FALSE,FALSE
6454,FALSE,FALSE,FALSE
4131,FALSE,FALSE,FALSE
3762,FALSE,FALSE,FALSE
1755,FALSE,FALSE,FALSE
3974,NA,FALSE,FALSE
74,FALSE,FALSE,FALSE
7654,FALSE,FALSE,FALSE
148,FALSE,FALSE,FALSE
4533,FALSE,NA,NA
4206,FALSE,FALSE,FALSE
1047,FALSE,TRUE,FALSE
4132,FALSE,FALSE,TRUE
6380,NA,FALSE,NA
1637,FALSE,NA,NA
6741,FALSE,FALSE,FALSE
5270,FALSE,FALSE,FALSE
5745,FALSE,FALSE,FALSE
4332,FALSE,FALSE,FALSE
1774,FALSE,FALSE,FALSE
1541,FALSE,FALSE,FALSE
4675,NA,NA,NA
4585,FALSE,FALSE,FALSE
6363,FALSE,FALSE,FALSE
1847,NA,NA,NA
964,FALSE,FALSE,FALSE
6510,NA,FALSE,FALSE
1556,FALSE,FALSE,FALSE
3496,FALSE,FALSE,FALSE
4039,FALSE,NA,FALSE
1494,FALSE,TRUE,TRUE
5628,TRUE,TRUE,TRUE
287,NA,NA,FALSE
3459,NA,FALSE,FALSE
1929,NA,NA,NA
3792,NA,NA,NA
6249,NA,NA,NA
6564,NA,NA,NA
3741,NA,NA,NA
1907,NA,FALSE,FALSE
3229,FALSE,FALSE,FALSE
1168,NA,NA,NA
1519,NA,NA,NA
5893,FALSE,FALSE,FALSE
3934,FALSE,FALSE,FALSE
2342,FALSE,FALSE,FALSE
7515,NA,NA,NA
106,NA,NA,NA
4635,NA,NA,NA
1961,FALSE,FALSE,FALSE
4927,FALSE,FALSE,FALSE
5833,FALSE,FALSE,FALSE
2506,FALSE,FALSE,FALSE
7,FALSE,FALSE,FALSE
752,NA,TRUE,TRUE
1074,FALSE,FALSE,FALSE
1037,FALSE,FALSE,FALSE
6927,FALSE,FALSE,NA
5649,FALSE,FALSE,FALSE
7020,FALSE,TRUE,TRUE
4003,FALSE,FALSE,TRUE
6318,FALSE,FALSE,FALSE
579,FALSE,FALSE,FALSE
1305,NA,NA,NA
26,FALSE,FALSE,FALSE
3883,FALSE,FALSE,FALSE
1450,FALSE,FALSE,FALSE
4110,NA,NA,TRUE
1400,FALSE,NA,FALSE
540,FALSE,FALSE,FALSE
4063,FALSE,NA,NA
4423,NA,FALSE,FALSE
4725,NA,NA,NA
3212,FALSE,FALSE,FALSE
6215,NA,NA,NA
5560,FALSE,FALSE,FALSE
5544,FALSE,FALSE,FALSE
7125,NA,NA,NA
4399,FALSE,NA,NA
6592,NA,NA,NA
4532,FALSE,FALSE,FALSE
4433,FALSE,FALSE,FALSE
6303,FALSE,FALSE,FALSE
6228,FALSE,FALSE,FALSE
728,FALSE,FALSE,FALSE
6226,FALSE,FALSE,FALSE
5145,FALSE,FALSE,FALSE
1418,FALSE,FALSE,FALSE
866,FALSE,FALSE,FALSE
7603,FALSE,FALSE,FALSE
1033,NA,TRUE,TRUE
6557,FALSE,FALSE,FALSE
935,TRUE,FALSE,FALSE
668,FALSE,FALSE,FALSE
5158,FALSE,FALSE,FALSE
4250,FALSE,FALSE,NA
1936,NA,NA,NA
900,NA,FALSE,FALSE
3271,FALSE,NA,NA
372,NA,NA,NA
5425,NA,NA,NA
146,FALSE,FALSE,FALSE
4803,FALSE,FALSE,FALSE
2654,FALSE,FALSE,FALSE
5779,FALSE,FALSE,FALSE
4760,NA,NA,NA
469,FALSE,FALSE,FALSE
3111,NA,NA,NA
4964,NA,TRUE,TRUE
3199,NA,TRUE,TRUE
5606,FALSE,NA,FALSE
6819,FALSE,FALSE,FALSE
2400,FALSE,FALSE,FALSE
5245,FALSE,FALSE,FALSE
2189,FALSE,FALSE,FALSE
