"X","id","screen_name","name","description","order","descrip_label","name_label","combo","label","is_PE"
1,1306214180207251456,"3rd_abraham",":Baron- T3","Geopolitical Analyst - Researcher - Publisher - Counter Jihadist - Exposing the Occult, Masonic Brotherhood and Davos Agenda / #T3OccultAstrology #T3Edit #T3",618,"o","o","oo","individual, non-P.E.",FALSE
2,121639467,"7NewsMelbourne","7NEWS Melbourne","7NEWS - nightly at 6.00 with @Peter_Mitchell7, @timwatson32, @JaneBunn (Sun-Thur) and @mikeamor7, @Jacquifelgate, @MelinaSarris7 (Fri-Sat).",7335,"g","g","gg","non-individual",NA
3,121639467,"7NewsMelbourne","7NEWS Melbourne","7NEWS at 6pm with @Peter_Mitchell7, @timwatson32, @JaneBunn (Sun-Thur) and @mikeamor7, @Jacquifelgate, @MelinaSarris7 (Fri-Sat).",7335,"g","g","gg","non-individual",NA
4,4081035674,"9thFloorAZ","The 9th Floor","Official account of the Office of Arizona Governor @DougDucey providing an inside look at the day-to-day operations of the governor and his staff",3604,"g","o","og","non-individual",NA
5,1239667542144229376,"ADuferret","Ana Duferret","Le langage politique est conçu pour donner aux mensonges des airs de vérité, rendre le meurtre respectable et faire passer pour solide ce qui n'est que du vent.",4966,"f","o","of","non-english",NA
6,388952247,"AFnewsroom","Air France Newsroom","Official Air France newsroom, fil d'actus officiel d'Air France. Infos, exclus, livetweet. Customer service & commercial info: @AirFranceFR @AirFrance",6753,"o","g","go","non-individual",NA
7,1001152153606537216,"AK4WA","Amber Krabach For WA","#HoldFast 🇺🇸",3688,"o","o","oo","individual, non-P.E.",FALSE
8,1001152153606537216,"AK4WA","Amber Krabach For WA","DECLAS is COMING!  #HoldFast 🇺🇸",3688,"o","o","oo","individual, non-P.E.",FALSE
9,825243162201448448,"Aabhas24","Aabhas Maldahiyar 🇮🇳","Author(3 books),Columnist, Urban Designer """"""""Ex-Marxist"""""""" My latest book #ModiAgain (story of my transformation) buy at https://garudabooks.com/modi-again-1copy",3728,"o","o","oo","individual, non-P.E.",FALSE
10,1714358744,"AdyLady9969","Adrienne 🌹","I don’t like morning people. Or mornings. Or people.",5762,"o","o","oo","individual, non-P.E.",FALSE
11,150725695,"Agenzia_Ansa","Agenzia ANSA","Le top news dell’ANSA, la più importante agenzia d’informazione in Italia. Ultim’ora, notizie, foto e video da tutto il mondo. Aggiornamenti 24 ore su 24. #ANSA",2659,"f","g","gf","non-english",NA
12,1093676917352325120,"AigleRoyale16","Aigle Royal 16 ⚓🇫🇷⚓","Patriote",5466,"o","o","oo","individual, non-P.E.",FALSE
13,1256078949714661376,"AitonNicole","nicole aiton","It is easier to fool someone, than convince them that they are being fooled🤔👀",3678,"o","o","oo","individual, non-P.E.",FALSE
14,440499185,"AlietaEck","Alieta Eck, MD","2012 President, Association of American Physicians and Surgeons; Co-founder, Zarephath Health Center; General internist: Candidate- US Congress, NJ-12 for 2014",6192,"p","p","pp","Both",TRUE
15,1135561178791514112,"AllPourLaFrance","AlliancePourLa France","#AlliancePourLaFrance 🇫🇷 pour remettre notre pays au centre de nos préoccupations #Marionvite 🙏 ❤️ @MarionMarechal",3247,"f","g","gf","non-english",NA
16,23056912,"AlynSmith","Alyn Smith MP 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺","Scottish European. MP for Stirling, the heart of Scotland. @theSNP Foreign Affairs Spokesperson. Constituents please email: Alyn.Smith.MP@parliament.uk",725,"o","o","oo","individual, non-P.E.",FALSE
17,1353403784152690688,"AmorDePatria5","🇻🇪Por Amor a Nuestra Patria🇻🇪","#Activa #EscaneandoCarnet #Patria #JuntosVenceremos 🙏",6123,"f","f","ff","non-english",NA
18,3082910212,"AndrewE_Dunn","Andrew Dunn","Pharma and biotech reporter for Business Insider. Focused on COVID vaccines and treatments. adunn@businessinsider.com",4102,"o","o","oo","individual, non-P.E.",FALSE
19,928798430289424384,"AnnaPodolanczuk","Anna Podolanczuk","Physician scientist working on pulmonary fibrosis. Pulmonary and ICU doctor specializing in ILD. Mom of two girls. Immigrant. Tweets are my own.",4728,"p","o","op","Description",TRUE
20,928798430289424384,"AnnaPodolanczuk","Anna Podolanczuk","Physician scientist. Pulmonologist. Intensivist. ILD doctor and researcher. Mom of two girls. Immigrant. Tweets are my own.",4728,"p","o","op","Description",TRUE
21,1156560530594832384,"AnnamiePaul","Annamie Paul","Leader of the Green Party of Canada (She) 
Chef du Parti vert du Canada (Elle) 
M.P.A. (Princeton), LL.B (Ottawa)",5439,"o","o","oo","individual, non-P.E.",FALSE
22,1156560530594832384,"AnnamiePaul","Annamie Paul","Leader of the Green Party of Canada (She) Chef du Parti vert du Canada (Elle) M.P.A. (Princeton), LL.B (Ottawa)",5439,"o","o","oo","individual, non-P.E.",FALSE
23,18947832,"AnnieYuTV","Annie Yu","Anchor #GetUpDC weekdays 4:25-7am. Family, golf, foodie. Raised in the #DMV. Left handed ✍️ If not now, when? -Eckhart Tolle http://WUSA9.com",4886,"o","o","oo","individual, non-P.E.",FALSE
24,18947832,"AnnieYuTV","Annie Yu","Mom + wife. Anchor #GetUpDC weekdays 4:25-7am. Family, golf, foodie. Raised in #DMV. Left handed ✍️  If not now, when? - Eckhart Tolle http://WUSA9.com",4886,"o","o","oo","individual, non-P.E.",FALSE
25,84684955,"ArmstrongDrew","Drew Armstrong","Senior editor for health care at Bloomberg. Punching numbers and tracking vaccines. https://www.bloomberg.com/graphics/covid-vaccine-tracker-global-distribution",1426,"o","o","oo","individual, non-P.E.",FALSE
26,133182052,"Arun2981","Arun Arora","Love. Laugh. Live .  🇮🇳",1339,"o","o","oo","individual, non-P.E.",FALSE
27,1181830619652907008,"B33Mello","Mello.B33","",6818,"o","o","oo","individual, non-P.E.",FALSE
28,742143,"BBCWorld","BBC News (World)","News, features and analysis from the World's newsroom. Breaking news, follow @BBCBreaking. UK news, @BBCNews. Latest sports news @BBCSport",704,"g","g","gg","non-individual",NA
29,594820949,"BabajideFadoju","Babajide Fadoju","Man is a mere breath; His days are a passing shadow. We are but of yesterday & know nothing, cos’ our days upon the earth are a shadow| Talitha Cumi|Learner",3775,"o","o","oo","individual, non-P.E.",FALSE
30,986811270,"BarbaraRaval","Barbara Raval 🐱 🇮🇹 💙 🐸","Giornalista per piacere, per passione e per dovere. Essere ad un livello di moralità superiore è già di per sé una soddisfazione.
Barbara Raval© AKA Rosella B.",6895,"f","o","of","non-english",NA
31,712352983908950016,"BeachPretzel2","BeachPretzel","I post breaking news w/commentary. I LOATHE anything Trump. Rudeness is blocked.#TheResistance;RT implies agreement*We made it past Jan 20! Now we need justice!",465,"o","o","oo","individual, non-P.E.",FALSE
32,712352983908950016,"BeachPretzel2","BeachPretzel","I post breaking news w/commentary. I LOATHE anything Trump. We need justice! Rudeness: blocked. #Resist; RT implies agreement. I don't FB those who don't tweet.",465,"o","o","oo","individual, non-P.E.",FALSE
33,589420673,"Becky_Vixie","Rebecca.Wildlife 🐬🦔🦉🦎🦋","29 yr old animal/wildlife lover, passion for Wildlife Rescue, Future Conservationist, Born and bred in the Heart of The National Forest 🌳🦡🦉🦌🦋🐞🌸🌱🐬🦔🦎",5902,"o","o","oo","individual, non-P.E.",FALSE
34,2716353140,"BhadraPunchline","M. K. Bhadrakumar","Former diplomat",593,"o","o","oo","individual, non-P.E.",FALSE
35,1272894803865481216,"BhavikaButani","Karishma","💕",3510,"o","o","oo","individual, non-P.E.",FALSE
36,1272894803865481216,"BhavikaButani","karishma","💕",3510,"o","o","oo","individual, non-P.E.",FALSE
37,2726522922,"BrasilWire","Brasil Wire","Independent news & analysis on Brasil in English since 2014. @progintl partner.",6359,"g","g","gg","non-individual",NA
38,389067673,"CBCFletch","Robson Fletcher","Reporter / Editor with @CBCCalgary, focusing on data & analysis. Views my own and subject to change, especially in light of new evidence. robson.fletcher@cbc.ca",2937,"o","o","oo","individual, non-P.E.",FALSE
39,108419001,"CBCLorenda","Lorenda Reddekopp","CBC News reporter in Toronto, mainly covering #onpoli & #Covid19. Hablo español. Originally from Sask. News tips: lorenda.reddekopp@cbc.ca",6647,"o","o","oo","individual, non-P.E.",FALSE
40,10878852,"CBSDFW","CBSDFW","Breaking and local news from the staff of CBS 11 News in D/FW.",2096,"g","g","gg","non-individual",NA
41,15012486,"CBSNews","CBS News","Your source for original reporting and trusted news.",2417,"g","g","gg","non-individual",NA
42,498072950,"CJCousineau","Chris Cousineau 🌹🍊⚰️","Sharp mind, rough tongue.
Peace, Justice, and Good Gov't.
Anti-fascist
Anti-racist
he/him/settler
Seditionist indigenous political saboteur (allegedly)",1446,"o","o","oo","individual, non-P.E.",FALSE
43,809124436880322560,"CNNBrasil","CNN Brasil","CNN, 01 ano, a maior do mundo. Líder em independência
Acompanhe também pelo canal 577 na TV por assinatura, app ou site. 
💰@CNNBrBusiness
🎤 @cnnbrtonight",4257,"f","g","gf","non-english",NA
44,476213099,"CPRNews","CPR News","Breaking and in-depth news from Colorado Public Radio. Home of @onsomethingpod and #backfrombroken. Sign up for our newsletter: https://www.cpr.org/lookout",691,"g","g","gg","non-individual",NA
45,21106414,"CTVMontreal","CTV Montreal","Montreal’s most popular English-language newscast. Tweeting breaking local news from http://CTVNewsMontreal.ca.",846,"g","g","gg","non-individual",NA
46,231902290,"Cartabellotta","Nino Cartabellotta","Medico, presidente @GIMBE. Il mio faro sono #evidenze #scienza #dati. Allergico a opinioni e #fake. Padre di 3 figli, siculo, amo fornelli, piante, sole, mare",5428,"f","o","of","non-english",NA
47,74722174,"Casagrande_ES","Renato Casagrande","Twitter pessoal do Governador do ES (2019-2022)",2688,"f","o","of","non-english",NA
48,4315639054,"CatPurry9","Cat """"""""the evil one"""""""" Perry ♿️","Former med scientist. Opinionated. Terminally cynical. Left-leaning. Cat enthusiast. I don't always follow back.",6356,"p","o","op","Description",TRUE
49,4315639054,"CatPurry9","Cat Perry ♿️","Former med scientist. Opinionated. Left-leaning. Cat enthusiast. I don't always follow back.",6356,"p","o","op","Description",TRUE
50,4315639054,"CatPurry9","Cat Perry ♿️","Former med scientist. Opinionated. Terminally cynical. Left-leaning. Cat enthusiast. I don't always follow back.",6356,"p","o","op","Description",TRUE
51,1346890637690499072,"CaudeHenrion","Alexandra Henrion-Caude","Scientifique. Chercheur. Spécialiste de l’ARN. Fondatrice de l'Institut de Recherche SimplissimA",3134,"f","o","of","non-english",NA
52,92840551,"Celestite66","Jen🔥🐎🌞♍️🌛♒️⬆️♎️","Seeker of fairness and lover of animals. Follow at your own risk.",5943,"o","o","oo","individual, non-P.E.",FALSE
53,398998659,"Chavez_Fndn","Chavez Foundation","Inspiring and transforming communities through social enterprises that address essential human, cultural and community needs. #sisepuede",5152,"o","g","go","non-individual",NA
54,87775422,"ChinaDaily","China Daily","Start a conversation as we share news and analysis from #China and beyond.",2343,"o","g","go","non-individual",NA
55,1654267909,"ChrisCostaTV","Chris Costa","📍Portland, ME 🎥 prev: @khou @kagsnews 📺 🥍 Washed up laxer MA born and raised🎓 @comugrad ⤵️ Have a story to share? Email: chris.costa@newscentermaine.com",4469,"o","o","oo","individual, non-P.E.",FALSE
56,1412951714,"ChristophHutchi","Christoph Hutchinson MD","Interventional Pulmonologist, Critical Care, Director of bronchoscopy @pennmedicine tweets re: healthcare, philly, sports, music & etc, tweets my own 🇺🇸🇨🇭",2245,"p","p","pp","Both",TRUE
57,124455872,"CityOfBoston","City of Boston","Welcome to the City of Boston's official Twitter account. For non-emergency services call 311. For the latest public health updates visit https://t.co/L04V7p9AN5",2591,"g","g","gg","non-individual",NA
58,1091990374401359872,"CostanzaBattis1","rebelot","",7384,"o","o","oo","individual, non-P.E.",FALSE
