"X","id","order","screen_name","name","name_label","description","descrip_label","combo","label","is_PE"
1,27493883,3477,"joncoopertweets","Jon Cooper 🇺🇸","o","Formerly National Finance Chair of Draft Biden 2016; Long Island Campaign Chair for @BarackObama; Majority Leader of Suffolk County Legislature, NY. @DukeU alum","o","oo","individual, non-P.E.",FALSE
2,2173266672,2916,"MihaiVioreanu","Mihai Vioreanu","o","Father, husband, orthopaedic surgeon, sports enthusiast & knee geek","o","oo","individual, non-P.E.",FALSE
3,1077214808,601,"GovInslee","Governor Jay Inslee","o","Governor of Washington. Tweets on innovation, jobs, education, clean energy & my grandkids. Building a WA that works for everyone.","o","oo","individual, non-P.E.",FALSE
4,380191960,1636,"ohKAYx33","Kay","o","very queer | Pronouns: she/her","o","oo","individual, non-P.E.",FALSE
5,138182116,2517,"trish_regan","Trish Regan","o","Award winning journalist, Fearless defender of TRUTH. PROUD FREEDOM-LOVING CAPITALIST Get my DAILY pod here: http://apple.co/342OhYE","o","oo","individual, non-P.E.",FALSE
6,49616509,198,"StoneSculptorJN","Jay Nelson 🇨🇦 ⏳🔪","o","Political Commentator, Philosopher, Culture Vulture, Sculptor, Saw Operator, Tree Planter, Trail Blazer, with “Outlandish Ideas” 🌲🌲🌲 (not medical advice)","o","oo","individual, non-P.E.",FALSE
7,807095,6175,"nytimes","The New York Times","g","News tips? Share them here: http://nyti.ms/2FVHq9v","o","go","non-individual",NA
8,3664109892,3070,"TrueNorthCentre","True North","o","True North is a Canadian digital media platform focused on investigative reporting and telling the other side of the story.","o","oo","individual, non-P.E.",FALSE
9,473093118,1278,"xcgsailor","xcgsailor","o","Viet Nam Era Coast Guard Vet....Proud to be an American, CONSERVATIVE, DRAIN THE SWAMP, TAKE BACK THE COUNTRY 2022/2024
EXPOSING CORRUPTION ONE TWEET AT A TIME","o","oo","individual, non-P.E.",FALSE
10,133182052,3728,"Arun2981","Arun Arora","o","Love. Laugh. Live .  🇮🇳","o","oo","individual, non-P.E.",FALSE
11,865680475,7037,"zchagla","Zain Chagla","o","Infectious Diseases Physician at St. Joe's Hamilton / Associate Professor at McMaster University. Views are mine alone and don’t reflect institutions.","o","oo","individual, non-P.E.",FALSE
12,1209936918,7281,"OANN","One America News","g","Your nation. Your news. #OANN","g","gg","non-individual",NA
13,21419504,6123,"WCVB","WCVB-TV Boston","g","Real time updates from Boston's News Leader: WCVB NewsCenter 5","o","go","non-individual",NA
14,170861207,1210,"KatTimpf","Kat Timpf","o","doing my best","o","oo","individual, non-P.E.",FALSE
15,1230463969,4886,"birgitomo","Birgit Umaigba RN, BScN, MEd, CCRN 🇳🇬 🇨🇦","g","ICU Nurse. Christian. Healthcare & family-reunification focused. Want @marcomendicino to #prioritizefamilysponsorship. Everything coconut! Tweets = mine.","p","gp","non-individual",NA
18,1499607608,2170,"sallyKP","sally","o","Follower of Jesus, vaccine risk aware, pro informed consent, freedom fighter.❤️ Gab: @SallyKP4 & Parler: @SallyKP","o","oo","individual, non-P.E.",FALSE
19,742143,1062,"BBCWorld","BBC News (World)","g","News, features and analysis from the World's newsroom. Breaking news, follow @BBCBreaking. UK news, @BBCNews. Latest sports news @BBCSport","g","gg","non-individual",NA
20,4216062853,6675,"SallyLawry","💧Sally Lawry","o","Australians deserve better than the LNP. It's time for Integrity! Murdoch free house . Union member. Black lives matter . Asylum seekers need kindness","o","oo","individual, non-P.E.",FALSE
21,14946895,1367,"virginianpilot","The Virginian-Pilot","g","Breaking news and reporting for Hampton Roads and Virginia since 1865.","g","gg","non-individual",NA
22,758900688,1402,"GCobber99","Geoff Pearson","o","all views are mine i am sick of pollies lies trying to hold them too account our media wont","o","oo","individual, non-P.E.",FALSE
23,17794234,3011,"willyloman1","Scott Creighton","o","Conformity is the jailer of freedom and the enemy 
of growth. JFK","o","oo","individual, non-P.E.",FALSE
24,55330244,176,"Rifleman4WVU","T","o","Love my Wife, Family and Country and want to keep what the Founders wanted for it, Life, Liberty & The Pursuit of Happiness! Mountaineers are Always Free 🇺🇸","o","oo","individual, non-P.E.",FALSE
25,20106357,7053,"robinmonottibis","Robin Monotti FRSA🌸","o","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision ➡️ https://t.co/Et4Vcdxkuq","o","oo","individual, non-P.E.",FALSE
57,39308549,4959,"DailyCaller","Daily Caller","o","The journalists who love America.","o","oo","individual, non-P.E.",FALSE
58,537795028,4295,"JReinerMD","Jonathan Reiner","o","Professor of Medicine and Surgery @GWSMHS @GW_MFA, Interventional Cardiologist, @CNN Medical Analyst, @ScribnerBooks author","p","op","Description",TRUE
59,22646514,5627,"NewstalkFM","NewstalkFM","g","We aim to engage, challenge, inform, and entertain. Tune in: 106-108FM or http://newstalk.com/listenlive","o","go","non-individual",NA
60,15012486,2894,"CBSNews","CBS News","g","Your source for original reporting and trusted news.","o","go","non-individual",NA
61,532562634,6354,"JudgeClayJ","Clay Jenkins","o","Chief Elected Official of Dallas County. 2nd Largest County in the Lone Star State. Known in TX as the County Judge. Home to 2.7 million. RTs not endorsements.","g","og","non-individual",NA
62,162071541,5381,"ShaunLintern","Shaun Lintern","o","Health correspondent @independent. 'Almost unstoppable' in pursuit of #patientsafety. Helped expose #MidStaffs. Public interest journalism matters. #E17","p","op","Description",TRUE
63,87775422,2052,"ChinaDaily","China Daily","g","Start a conversation as we share news and analysis from #China and beyond.","g","gg","non-individual",NA
64,560046845,5305,"iTerryTommy","Terrance...","o","...with an ayyyeee | skeptical & distant | everyone is awful","o","oo","individual, non-P.E.",FALSE
65,115465588,1602,"regionofpeel","Region of Peel","o","Monitored Mon-Fri 8:30-4:30 excluding holidays. Call 905-791-7800 for service info or visit http://peelregion.ca. For emergencies call 911.","o","oo","individual, non-P.E.",FALSE
66,94143125,203,"fekubawa","जूमला किंग","f","TRUE INDIAN FIRST, HINDU LATER LOVE MY COUNTRY NOT COMMUNAL AND BIGOT FEKU GOVT. @CONGRESSTASK @Rahulgandhi @INCSMV #UnfollowGodiMedia सत्यमेव जयते","o","fo","non-english",NA
69,1468961041,3698,"WilmaSlurrie","Mrs & Mr Slurrie","o","Joint effort. One drums in The Trolling Stones; other authored: 'Momzers, fermented cabbage, gump-stumps & slush-bags: the history of RWNJ’.","o","oo","individual, non-P.E.",FALSE
70,590211920,1891,"libertytarian","David Knight","o","Podcast: https://t.co/YFjzf8zhIg
LIVE M-F 9am EASTERN DLive/Trovo
Links to ALL programs & media: https://t.co/gYj6eFVKPq
DavidKnightShow@protonmail.com","o","oo","individual, non-P.E.",FALSE
71,389067673,1592,"CBCFletch","Robson Fletcher","o","Reporter / Editor with @CBCCalgary, focusing on data & analysis. Views my own and subject to change, especially in light of new evidence. robson.fletcher@cbc.ca","o","oo","individual, non-P.E.",FALSE
72,16406877,2379,"RobertGehrke","Robert Gehrke","o","Word monger, Enemy of the American People, columnist at http://sltrib.com. Official 2020 Survivor.","o","oo","individual, non-P.E.",FALSE
73,155581583,3588,"robbysoave","Robby Soave","o","@reason senior editor. 2016 @forbes 30 Under 30 list. Author of """"""""Panic Attack: Young Radicals in the Age of Trump."""""""" Available now: http://bit.ly/2t6lO23","o","oo","individual, non-P.E.",FALSE
74,3004769941,6828,"aaron_ashley1","Aaron Ashley","o","Can't stand bullshit, blatant lying to my face, crap cover stories or any other horse shit.","o","oo","individual, non-P.E.",FALSE
