"","id","order","screen_name","name","name_label","description","descrip_label"
"1","27493883",3477,"joncoopertweets","Jon Cooper 🇺🇸","o","Formerly National Finance Chair of Draft Biden 2016; Long Island Campaign Chair for @BarackObama; Majority Leader of Suffolk County Legislature, NY. @DukeU alum","o"
"2","2173266672",2916,"MihaiVioreanu","Mihai Vioreanu","o","Father, husband, orthopaedic surgeon, sports enthusiast & knee geek","o"
"3","1077214808",601,"GovInslee","Governor Jay Inslee","o","Governor of Washington. Tweets on innovation, jobs, education, clean energy & my grandkids. Building a WA that works for everyone.","o"
"4","380191960",1636,"ohKAYx33","Kay","o","very queer | Pronouns: she/her","o"
"5","138182116",2517,"trish_regan","Trish Regan","o","Award winning journalist, Fearless defender of TRUTH. PROUD FREEDOM-LOVING CAPITALIST Get my DAILY pod here: http://apple.co/342OhYE","o"
"6","49616509",198,"StoneSculptorJN","Jay Nelson 🇨🇦 ⏳🔪","o","Political Commentator, Philosopher, Culture Vulture, Sculptor, Saw Operator, Tree Planter, Trail Blazer, with “Outlandish Ideas” 🌲🌲🌲 (not medical advice)","o"
"7","807095",6175,"nytimes","The New York Times","g","News tips? Share them here: http://nyti.ms/2FVHq9v","o"
"8","3664109892",3070,"TrueNorthCentre","True North","o","True North is a Canadian digital media platform focused on investigative reporting and telling the other side of the story.","o"
"9","473093118",1278,"xcgsailor","xcgsailor","o","Viet Nam Era Coast Guard Vet....Proud to be an American, CONSERVATIVE, DRAIN THE SWAMP, TAKE BACK THE COUNTRY 2022/2024
EXPOSING CORRUPTION ONE TWEET AT A TIME","o"
"10","133182052",3728,"Arun2981","Arun Arora","o","Love. Laugh. Live .  🇮🇳","o"
"11","865680475",7037,"zchagla","Zain Chagla","o","Infectious Diseases Physician at St. Joe's Hamilton / Associate Professor at McMaster University. Views are mine alone and don’t reflect institutions.","o"
"12","1209936918",7281,"OANN","One America News","g","Your nation. Your news. #OANN","g"
"13","21419504",6123,"WCVB","WCVB-TV Boston","g","Real time updates from Boston's News Leader: WCVB NewsCenter 5","o"
"14","170861207",1210,"KatTimpf","Kat Timpf","o","doing my best","o"
