"url_num","url_checked","url_iffy","url_acad","url_right","url_left","tweet_num","Id","label","is_PE","Degree","Betweenness","PageRank","Bridge","path","flow","name","path1","path2","path3","submod","Community","Bridge_stars","Degree_stars","Betweenness_stars","PageRank_stars","med_likes","hind_likes","med_rts","hind_rts","post_unif","is_unif","morning_count","afternoon_count","evening_count","night_count","user_created","ever_verified","ever_unverified","post_count","retweet_count","verif_change","followers","morning_poster","afternoon_poster","evening_poster","night_poster"
0,0,0,0,0,0,3,16,"individual, non-P.E.",FALSE,286,349326.0437,0.002742881,24,"1:02:07",0.00475119,16,1,2,7,"1 2","Anti-vaccine","**","**","**","**",26898,3,3457,3,0.57170510097993,TRUE,1,2,0,0,"2008-12-16 17:20:24",TRUE,FALSE,3,0,1,1985406,FALSE,TRUE,FALSE,FALSE
2,2,0,0,0,0,23,161,"individual, non-P.E.",FALSE,29,9096.443994,0.000149769,0,"1:21:01",0.000139624,161,1,21,1,"1 21","Anti-vaccine","","*","*","*",145,17,25.5,11,0.00116195947125403,FALSE,12,12,10,0,"2010-03-14 19:34:25",TRUE,FALSE,34,11,1,15555,TRUE,TRUE,FALSE,FALSE
9,7,0,0,0,0,51,237,"individual, non-P.E.",FALSE,18,7147.7043,9.75e-05,0,"0.086388889",7.05e-05,237,2,2,144,"2 2","Pro-vaccine","","*","*","",68,34,10,17,0.1210337413679,TRUE,34,50,34,1,"2009-04-27 19:03:49",TRUE,FALSE,119,68,1,50937,FALSE,TRUE,FALSE,FALSE
79,76,1,0,0,0,182,256,"Both",TRUE,111,4499.425601,0.000598601,0,"1:03:23",0.00106247,256,1,3,23,"1 3","Anti-vaccine","","*","*","*",30,52,13,35,3.35818682938551e-13,FALSE,78,88,6,115,"2020-05-31 21:32:05",FALSE,TRUE,287,105,1,4110,FALSE,FALSE,FALSE,TRUE
25,24,2,0,1,0,124,262,"individual, non-P.E.",FALSE,1,0,2.09e-05,0,"0.049155093",2.66e-06,262,1,2,527,"1 2","Anti-vaccine","","","","",1,2,1,2,3.9737169046003e-06,FALSE,13,31,65,40,"2020-12-12 05:32:39",FALSE,TRUE,149,25,1,223,FALSE,FALSE,TRUE,FALSE
4,4,0,0,0,0,248,298,"individual, non-P.E.",FALSE,148,26486.48597,0.000999647,0,"2:02:06",0.0013723,298,2,2,6,"2 2","Pro-vaccine","","**","*","**",46.5,78,9,40,2.71099810975815e-32,FALSE,669,601,477,3,"2011-07-21 15:17:25",FALSE,TRUE,1750,1502,1,4347,TRUE,TRUE,FALSE,FALSE
4,2,0,0,0,0,20,379,"individual, non-P.E.",FALSE,4,4.865591398,4.55e-05,0,"2:49:03",1.6e-05,379,2,49,3,"2 49","Pro-vaccine","","","","",3,6,3,5,1.30797334940488e-22,FALSE,2,20,1,0,"2011-07-13 21:59:45",FALSE,TRUE,23,3,1,5532,FALSE,TRUE,FALSE,FALSE
0,0,0,0,0,0,3,554,"individual, non-P.E.",FALSE,4,26.44409458,2.34e-05,0,"0.048194444",1.06e-05,554,1,1,504,"1 1","Anti-vaccine","","","","",3963,3,932,3,0.678247474041691,TRUE,3,2,0,0,"2009-08-18 20:18:32",TRUE,FALSE,5,2,1,164526,TRUE,TRUE,FALSE,FALSE
0,0,0,0,0,0,2,763,"individual, non-P.E.",FALSE,2,6.386285184,2.15e-05,0,"0.049050926",5.32e-06,763,1,1,578,"1 1","Anti-vaccine","","","","",31.5,2,5,2,0.62549104252168,TRUE,1,3,0,0,"2019-03-27 21:54:49",FALSE,TRUE,4,2,1,1474,FALSE,TRUE,FALSE,FALSE
3,1,0,0,0,0,16,796,"individual, non-P.E.",FALSE,2,0,2.36e-05,0,"0.088449074",5.32e-06,796,2,2,322,"2 2","Pro-vaccine","","","","",6,4,2,3,0.00658740058602777,FALSE,11,12,8,0,"2017-07-13 17:00:04",FALSE,TRUE,31,15,1,1002,TRUE,TRUE,FALSE,FALSE
4,4,0,0,0,0,14,1024,"Both",TRUE,8,14322.86045,9.46e-05,0,"0.134733796",2.66e-05,1024,2,74,1,"2 74","Pro-vaccine","","","*","",9.5,7,4,4,0.232858899111699,TRUE,8,1,4,4,"2009-07-12 12:27:06",FALSE,TRUE,17,3,1,987,TRUE,FALSE,FALSE,FALSE
8,6,0,0,0,0,37,1251,"Both",TRUE,5,302.8693905,2.73e-05,0,"0.045555556",1.6e-05,1251,1,2,216,"1 2","Anti-vaccine","","","","",25,20,12,15,4.18757197896445e-10,FALSE,30,24,11,3,"2020-07-09 04:24:51",FALSE,TRUE,68,31,1,19612,TRUE,TRUE,FALSE,FALSE
141,128,7,1,1,0,253,1299,"individual, non-P.E.",FALSE,2,52.68157017,2.2e-05,0,"0.047314815",5.32e-06,1299,1,2,368,"1 2","Anti-vaccine","","","","",1,4,1,4,1.68692356058701e-18,FALSE,62,288,378,183,"2020-06-10 00:13:00",FALSE,TRUE,911,658,1,453,FALSE,FALSE,TRUE,FALSE
11,11,0,0,0,0,25,1426,"individual, non-P.E.",FALSE,4,14196,0.000112072,0,"0.129189815",1.46e-05,1426,2,66,2,"2 66","Pro-vaccine","","","*","*",3,3,2.5,3,4.71389215188624e-37,FALSE,26,36,13,34,"2009-04-12 03:03:59",FALSE,TRUE,109,84,1,3230,FALSE,FALSE,FALSE,FALSE
3,3,0,0,0,0,42,1442,"individual, non-P.E.",FALSE,6,25.28540649,2.95e-05,0,"0.087453704",1.6e-05,1442,2,2,236,"2 2","Pro-vaccine","","","","",5,6,2,4,9.31838374000051e-31,FALSE,83,54,82,5,"2020-07-09 19:53:20",FALSE,TRUE,224,182,1,478,TRUE,FALSE,TRUE,FALSE
0,0,0,0,0,0,5,1451,"individual, non-P.E.",FALSE,2,0,2.72e-05,0,"1:11:34",9.31e-06,1451,1,11,34,"1 11","Anti-vaccine","","","","",2676,4,233.5,3,0.0328840765678107,FALSE,2,2,4,0,"2010-07-25 23:45:18",TRUE,FALSE,8,3,1,445265,FALSE,FALSE,TRUE,FALSE
5,5,0,0,0,0,5,1784,"individual, non-P.E.",FALSE,2,119.8521406,2.22e-05,0,"0.04724537",5.32e-06,1784,1,2,362,"1 2","Anti-vaccine","","","","",21,5,14,5,0.678247474041691,TRUE,0,3,1,1,"2017-11-11 16:21:02",FALSE,TRUE,5,0,1,25206,FALSE,TRUE,FALSE,FALSE
0,0,0,0,0,0,14,1902,"individual, non-P.E.",FALSE,3,211.3189828,2.81e-05,0,"1:15:12",7.98e-06,1902,1,15,12,"1 15","Anti-vaccine","","","","",7,3,1,2,0.000821170503011834,FALSE,4,10,2,0,"2008-07-22 13:41:40",FALSE,TRUE,16,2,1,246,FALSE,TRUE,FALSE,FALSE
44,42,1,1,0,0,91,1960,"Both",TRUE,34,681.9118282,8.46e-05,0,"0.044988426",0.000139624,1960,1,1,227,"1 1","Anti-vaccine","","*","","*",42,41,24,31,3.29119780315566e-29,FALSE,45,79,30,18,"2017-07-10 16:53:04",FALSE,TRUE,172,81,1,25464,FALSE,TRUE,FALSE,FALSE
10,10,2,0,0,0,36,2098,"individual, non-P.E.",FALSE,65,4951.044181,0.000154419,0,"0.044016204",0.000307172,2098,1,1,143,"1 1","Anti-vaccine","","*","*","*",50.5,16,6.5,9,1.89389071574199e-07,FALSE,28,29,0,24,"2011-06-25 13:13:45",FALSE,TRUE,81,45,1,13010,TRUE,TRUE,FALSE,FALSE
2,2,0,0,0,0,13,2367,"individual, non-P.E.",FALSE,361,306081.1837,0.004222171,5,"2:01:09",0.0043629,2367,2,1,9,"2 1","Pro-vaccine","*","**","**","**",2061,11,287,10,0.0107122801173555,FALSE,2,6,5,0,"2009-02-17 03:12:31",TRUE,FALSE,13,0,1,1607802,FALSE,TRUE,TRUE,FALSE
